VARSIG3	number numbers
VARSIG2	findminimum find minimum
VARSIG5	number number
VARSIG4	number number
COMMENTS	extra functionality number classes returns minimum array array array numbers minimum array elements returns maximum array array array numbers maximum array elements finds minimum maxiumum contained array ignoring elements findminimum find minimum maximum numbers empty elements array empty elements candidate extreme converts number link bigdecimal big decimal number number convert number constructor prevent instantiation
CLASSES	numberutils number utils
VARSIG1	number array
VARSIG0	number array
METHODS	min max minormax min max getbigdecimal big decimal numberutils number utils
MTHSIG4	numberutils number utils
MTHSIG0	min number array
MTHSIG1	max number array
PACKAGE	springframework roo support util
MTHSIG2	minormax min max findminimum find minimum number numbers
MTHSIG3	getbigdecimal big decimal number number
VARIABLES	array array findminimum find minimum numbers number number extreme candidate
