VARSIG7	classorinterfacetypedetails type details controllertypedetails controller type details
VARSIG6	itdfilename filename
VARSIG9	metadataidentificationstring metadata identification
VARSIG8	memberdetails member details memberdetails member details
VARSIG3	metadataidentificationstring metadata identification
VARSIG2	upstreamdependency upstream dependency
VARSIG5	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG4	javatype type aspectname aspect
COMMENTS	implementation link conversionservicemetadataprovider conversion service metadata provider fields stores mid accepted conversionservicemetadataproviderimpl conversion service metadata provider impl application wide conversion service webscaffoldmetadata web scaffold metadata upstream mid changed time don mid javatype type wasn webscaffoldmetadata web scaffold metadata superclass handle expected physicaltypeidentifier physical type identifier notification that registered receive governor applicationconversionservicefactorybean application conversion service factory bean let create find composite primary key types requiring converter type field embedded type type unknown don generate converter happen field track interested accessors interested methods accessors persistence version fields exclude collections arrays exclude references domain objects verbose exclude values meaningful presentation interested embedded types
VARSIG1	componentcontext component context context
VARSIG0	componentcontext component context context
MTHSIG4	gettostringmethods methods memberdetails member details memberdetails member details metadataidentificationstring metadata identification
VARSIG12	memberdetails member details memberdetails member details
MTHSIG5	ismethodofinterest interest methodmetadata metadata memberdetails member details memberdetails member details
VARSIG11	methodmetadata metadata
MTHSIG6	getitduniquenessfilenamesuffix uniqueness filename suffix
VARSIG10	methodmetadata metadata
MTHSIG7	getprovidestype type
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
VARSIG15	metadataid metadata
PACKAGE	springframework roo addon web mvc controller converter
MTHSIG2	resolvedownstreamdependencyidentifier resolve downstream dependency identifier upstreamdependency upstream dependency
VARSIG14	logicalpath logical path path
MTHSIG3	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
VARSIG13	javatype type javatype type
MTHSIG8	createlocalidentifier create local identifier javatype type javatype type logicalpath logical path path
MTHSIG9	getgovernorphysicaltypeidentifier governor physical type identifier metadataid metadata
CLASSES	conversionservicemetadataproviderimpl conversion service metadata provider impl
METHODS	activate deactivate resolvedownstreamdependencyidentifier resolve downstream dependency identifier getmetadata metadata gettostringmethods methods ismethodofinterest interest getitduniquenessfilenamesuffix uniqueness filename suffix getprovidestype type createlocalidentifier create local identifier getgovernorphysicaltypeidentifier governor physical type identifier
VARIABLES	context context upstreamdependency upstream dependency metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename controllertypedetails controller type details memberdetails member details metadataidentificationstring metadata identification memberdetails member details javatype type path metadataid metadata layerservice layer service applicationconversionservicefactorybeanmid application conversion service factory bean mid compositeprimarykeytypes composite primary key types relevantdomaintypes relevant domain types findmethods find methods idtypes types tostringmethods methods webscaffoldannotationvalues web scaffold annotation values formbackingobject form backing object memberdetails member details embeddedidfields embedded fields jsonmethodnames json names fieldmemberdetails field member details fromjsonmethod json tojsonmethod json identifiertype identifier type findmethod find tostringmethods methods counter field fieldtype field type javatype type path
