VARSIG7	existingdata existing data
VARSIG6	targettype target type
VARSIG9	methodtarget target target
VARSIG8	optioncontext option context
VARSIG3	targettype target type
VARSIG2	
VARSIG5	list completion completions
VARSIG4	optioncontext option context
COMMENTS	link converter link packagingprovider packaging provider fields
CLASSES	packagingproviderconverter packaging provider converter
VARSIG1	optioncontext option context
VARSIG0	type
METHODS	supports convertfromtext convert text getallpossiblevalues values
VARSIG10	packagingprovider packaging provider packagingprovider packaging provider
MTHSIG0	supports type optioncontext option context
MTHSIG1	convertfromtext convert text targettype target type optioncontext option context
PACKAGE	springframework roo project packaging
MTHSIG2	getallpossiblevalues values list completion completions targettype target type existingdata existing data optioncontext option context methodtarget target target
VARIABLES	type optioncontext option context targettype target type optioncontext option context completions targettype target type existingdata existing data optioncontext option context target packagingprovider packaging provider packagingproviderregistry packaging provider registry packagingprovider packaging provider
