VARSIG3	map options
VARSIG2	viewname view
VARSIG5	exception
VARSIG4	url
COMMENTS	provider embed videos url specific install expected format http youtube watch lfl lfl expected format http video google videoplay docid expected format http vimeo expected format http viddler explore failblog videos expected format http screenr glr
CLASSES	videoembeddedprovider video embedded provider
VARSIG1	viewname view
VARSIG0	url
METHODS	embed install getviddlerid viddler tostring
MTHSIG0	embed url viewname view
MTHSIG1	install viewname view map options
PACKAGE	springframework roo addon web mvc embedded provider
MTHSIG2	getviddlerid viddler url
MTHSIG3	tostring
VARIABLES	url viewname view viewname view options url options options options options split options provider video xml doc movie movieurl movie url videoprovider video provider tsc
