MTHSIG28	getargname arg
MTHSIG29	getdatatype data type
MTHSIG26	compareto compare javatype type
MTHSIG27	tostring
MTHSIG24	hashcode hash code
MTHSIG25	equals object obj
MTHSIG22	isarray array
MTHSIG23	getarray array
MTHSIG4	javatype type fullyqualifiedtypename fully qualified type javatype type enclosingtype enclosing type
VARSIG34	object obj
MTHSIG5	javatype type type
VARSIG33	coretypeprefix core type prefix
MTHSIG6	javatype type fullyqualifiedtypename fully qualified type arraydimensions array dimensions datatype data type datatype data type javasymbolname symbol argname arg list javatype type parameters
VARSIG32	javatype type
MTHSIG7	javatype type fullyqualifiedtypename fully qualified type javatype type enclosingtype enclosing type arraydimensions array dimensions datatype data type datatype data type javasymbolname symbol argname arg list javatype type parameters
VARSIG31	map types
MTHSIG0	listof list javatype type elementtype element type
MTHSIG1	getinstance instance fullyqualifiedtypename fully qualified type arraydimensions array dimensions datatype data type datatype data type javasymbolname symbol argname arg javatype type parameters
PACKAGE	springframework roo model
MTHSIG2	getinstance instance fullyqualifiedtypename fully qualified type javatype type enclosingtype enclosing type arraydimensions array dimensions datatype data type datatype data type javasymbolname symbol argname arg javatype type parameters
MTHSIG3	javatype type fullyqualifiedtypename fully qualified type
VARSIG35	javatype type
MTHSIG20	ismultivalued multi valued
MTHSIG21	getparameters parameters
MTHSIG8	getrelativefilename relative file
VARSIG30	importregistrationresolver registration resolver resolver
MTHSIG9	getsimpletypename simple type
CLASSES	javatype type
VARSIG29	staticform form
VARSIG28	importregistrationresolver registration resolver resolver
METHODS	listof list getinstance instance getinstance instance javatype type javatype type javatype type javatype type javatype type getrelativefilename relative file getsimpletypename simple type getfullyqualifiedtypename fully qualified type getnameincludingtypeparameters including type parameters getnameincludingtypeparameters including type parameters getnameincludingtypeparameters including type parameters getpackage getenclosingtype enclosing type isdefaultpackage isprimitive primitive iscommoncollectiontype common collection type iscoretype core type ismultivalued multi valued getparameters parameters isarray array getarray array hashcode hash code equals compareto compare tostring getargname arg getdatatype data type getarraysuffix array suffix determineenclosingtype determine enclosing type
VARSIG23	arraydimensions array dimensions
VARSIG22	javatype type enclosingtype enclosing type
VARSIG21	fullyqualifiedtypename fully qualified type
VARSIG20	list javatype type parameters
VARSIG27	staticform form
VARSIG26	list javatype type parameters
VARSIG25	javasymbolname symbol argname arg
VARSIG24	datatype data type datatype data type
MTHSIG31	determineenclosingtype determine enclosing type
MTHSIG30	getarraysuffix array suffix
VARSIG7	javatype type enclosingtype enclosing type
VARSIG6	fullyqualifiedtypename fully qualified type
VARSIG9	datatype data type datatype data type
VARSIG8	arraydimensions array dimensions
VARSIG3	datatype data type datatype data type
