MTHSIG0	setup set
MTHSIG1	testnamesareuniqueandnotblank test names unique blank
PACKAGE	springframework roo addon layers repository jpa
MTHSIG2	testparametertypesarenotnull test parameter types
MTHSIG3	testcallflushmethod test call flush
COMMENTS	unit test link repositorylayermethod repository layer fixture invoke check
CLASSES	repositorylayermethodtest repository layer test
VARIABLES	mocktargetentity mock target entity mockidtype mock type names methodcall call
VARSIG1	repositoryjpalayermethod repository jpa layer
VARSIG0	repositoryjpalayermethod repository jpa layer
METHODS	setup set testnamesareuniqueandnotblank test names unique blank testparametertypesarenotnull test parameter types testcallflushmethod test call flush
