VARSIG3	javatype type annotationtype annotation type
VARSIG2	memberholdingtypedetailsmetadataitem member holding type details metadata item governormetadata governor metadata
VARSIG5	javatype type annotationtype annotation type
VARSIG4	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
COMMENTS	convenience parser holder annotation values add share annotation parsing outcomes provider metadata instances parsed metadata properly formed convenience constructor takes link annotation type governormetadata governor metadata parse annotationtype annotation type annotation required parses governor governor metadata requested annotation link javatype type annotation link annotationmetadata annotation metadata field subclasses generally link autopopulationutils auto population utils populate object annotationmetadata annotation metadata complete configuration subclass don invoke link autopopulationutils auto population utils constructor subclass set values field overwritten control flow returns subclass constructor link physicaltypemetadata physical type metadata parsed internally link classorinterfacetypedetails type details attempt populate values governormetadata governor metadata parse annotationtype annotation type locate parse reliable physical type details process values annotation reliable physical type details process values annotation type declared annotation governor returns
CLASSES	abstractannotationvalues annotation values
VARSIG1	annotationtype annotation type
VARSIG0	memberholdingtypedetailsmetadataitem member holding type details metadata item governormetadata governor metadata
METHODS	abstractannotationvalues annotation values abstractannotationvalues annotation values abstractannotationvalues annotation values getgovernortypedetails governor type details isclassparsed parsed isannotationfound annotation
MTHSIG4	isclassparsed parsed
MTHSIG5	isannotationfound annotation
MTHSIG0	abstractannotationvalues annotation values memberholdingtypedetailsmetadataitem member holding type details metadata item governormetadata governor metadata annotationtype annotation type
MTHSIG1	abstractannotationvalues annotation values memberholdingtypedetailsmetadataitem member holding type details metadata item governormetadata governor metadata javatype type annotationtype annotation type
PACKAGE	springframework roo classpath details annotations populator
MTHSIG2	abstractannotationvalues annotation values memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details javatype type annotationtype annotation type
MTHSIG3	getgovernortypedetails governor type details
VARIABLES	governormetadata governor metadata annotationtype annotation type governormetadata governor metadata annotationtype annotation type memberholdingtypedetails member holding type details annotationtype annotation type classparsed parsed annotationmetadata annotation metadata governortypedetails governor type details governordetails governor details
