MTHSIG0	isop javailable
MTHSIG1	annotatetype annotate type javatype type javatype type
PACKAGE	springframework roo addon
MTHSIG2	setup
MTHSIG3	getpathresolver path resolver
COMMENTS	implementation commands roo shell physical type mutable details path resolver user project
CLASSES	joperationsimpl operations impl
VARIABLES	javatype type dependency metadataservice metadata service physicaltypemetadataprovider physical type metadata provider projectoperations project operations ptm ptd mutabletypedetails mutable type details rooop roo annotationbuilder annotation builder configuration dependencies projectmetadata project metadata
VARSIG1	element dependency
VARSIG0	javatype type javatype type
METHODS	isop javailable annotatetype annotate type setup getpathresolver path resolver
