MTHSIG28	getenclosingtypename enclosing type
MTHSIG26	getimports imports
MTHSIG27	getinnertypes types
MTHSIG24	tostring
MTHSIG25	getcompilationunitpackage compilation unit
MTHSIG22	getresolvedname resolved javatype type target javatype type current compilationunitservices compilation unit services compilationunit compilation unit
MTHSIG23	createorupdatetypeondisk create update type disk filemanager file manager filemanager file manager classorinterfacetypedetails type details cit fileidentifier file identifier
VARSIG39	importdeclaration declaration importdeclaration declaration
MTHSIG4	getsuperclass superclass
VARSIG34	fieldmetadata field metadata candidate
MTHSIG5	getphysicaltypecategory physical type category
VARSIG33	javasymbolname symbol constant
MTHSIG6	getname
VARSIG32	annotationmetadata annotation metadata candidate
MTHSIG7	getdeclaredconstructors declared constructors
VARSIG31	javatype type current
MTHSIG0	javaparserclassorinterfacetypedetails parser type details compilationunit compilation unit compilationunit compilation unit typedeclaration type declaration typedeclaration type declaration declaredbymetadataid declared metadata javatype type typename type metadataservice metadata service metadataservice metadata service physicaltypemetadataprovider physical type metadata provider physicaltypemetadataprovider physical type metadata provider
VARSIG38	importdeclaration declaration importdeclaration declaration
MTHSIG1	javaparserclassorinterfacetypedetails parser type details typecontents type contents declaredbymetadataid declared metadata javatype type typename type metadataservice metadata service metadataservice metadata service physicaltypemetadataprovider physical type metadata provider physicaltypemetadataprovider physical type metadata provider
VARSIG37	classorinterfacetypedetails type details candidate
PACKAGE	springframework roo classpath javaparser
MTHSIG2	getdeclaredbymetadataid declared metadata
VARSIG36	methodmetadata metadata candidate
MTHSIG3	getmodifier modifier
VARSIG35	constructormetadata constructor metadata candidate
MTHSIG20	addenumconstant add constant compilationunitservices compilation unit services compilationunitservices compilation unit services list enumconstantdeclaration constant declaration constants javasymbolname symbol
MTHSIG21	getresolvedname resolved javatype type target javatype type current compilationunit compilation unit compilationunit compilation unit
MTHSIG8	getenumconstants constants
VARSIG30	javatype type
MTHSIG9	getdeclaredfields declared fields
CLASSES	javaparserclassorinterfacetypedetails parser type details
VARSIG29	javatype type current
VARSIG28	importmetadata metadata importtype type
METHODS	javaparserclassorinterfacetypedetails parser type details javaparserclassorinterfacetypedetails parser type details getdeclaredbymetadataid declared metadata getmodifier modifier getsuperclass superclass getphysicaltypecategory physical type category getname getdeclaredconstructors declared constructors getenumconstants constants getdeclaredfields declared fields getdeclaredmethods declared methods getdeclaredinnertypes declared types getdeclaredinitializers declared initializers getextendstypes types getimplementstypes types getregisteredimports registered imports getannotations annotations listmembers list members updateoutput update output getcompilationunitcontents compilation unit contents addenumconstant add constant getresolvedname resolved getresolvedname resolved createorupdatetypeondisk create update type disk tostring getcompilationunitpackage compilation unit getimports imports getinnertypes types getenclosingtypename enclosing type
VARSIG23	nameexpr expr
VARSIG22	arraylist array list arg
VARSIG21	classorinterfacetype type
VARSIG20	typedeclaration type declaration typedeclaration type declaration
VARSIG27	list bodydeclaration body declaration parent
VARSIG26	classorinterfacetypedetails type details cit
VARSIG25	compilationunit compilation unit compilationunit compilation unit
VARSIG24	arraylist array list arg
VARSIG7	javatype type
VARSIG6	importdeclaration declaration importdeclaration declaration
VARSIG9	enumconstantdeclaration constant declaration enumconstants constants
VARSIG8	classorinterfacetype type candidate
VARSIG3	javatype type typename type
VARSIG2	declaredbymetadataid declared metadata
VARSIG5	physicaltypemetadataprovider physical type metadata provider physicaltypemetadataprovider physical type metadata provider
VARSIG4	metadataservice metadata service metadataservice metadata service
COMMENTS	parser implementation link classorinterfacetypedetails type details immutable constructed satisfy internal calculate lowercase assume straight type imports happening uppercase let javatype type compute enclosing type properly determine type adding type parameters revert original type avoiding unnecessary inferences lang types roo verify declaration appears correct convert parser modifier jdk modifier type parameters fortunately type names top level superclass finished declaring type introspect types referred body members defer illegal refer type signature enclosing type type appends presented presented body declarations body declarations presented compilation unit progressively build types compilationunit compilation unit work progress compilation unit required cit add required bodydeclarations body declarations list appended required parent body declarations subclass denotes top level type compilation unit append imports declares create declaration represent actual type handling top level type type superclass handling handling adding top level type add compilation unit types top level create compilation unit javatype type metadata methods add type annotations add constants interfaces handling add fields add constructors add methods add types create compilation unit store type created list replaced sorted version add declaration compilation unit pass argument denotes working top level type determine location insert
VARSIG19	physicaltypemetadataprovider physical type metadata provider physicaltypemetadataprovider physical type metadata provider
VARSIG1	typedeclaration type declaration typedeclaration type declaration
VARSIG18	metadataservice metadata service metadataservice metadata service
VARSIG0	compilationunit compilation unit compilationunit compilation unit
VARSIG17	javatype type typename type
VARSIG12	bodydeclaration body declaration bodydeclaration body declaration
VARSIG11	annotationexpr annotation expr candidate
VARSIG55	fileidentifier file identifier
VARSIG10	classorinterfacetype type candidate
VARSIG54	classorinterfacetypedetails type details cit
VARSIG53	filemanager file manager filemanager file manager
VARSIG16	declaredbymetadataid declared metadata
VARSIG15	typecontents type contents
VARSIG14	variabledeclarator variable declarator
VARSIG13	bodydeclaration body declaration member
VARSIG52	javatype type
VARSIG51	compilationunitservices compilation unit services compilationunit compilation unit
VARSIG50	javatype type current
MTHSIG17	listmembers list members typedeclaration type declaration typedeclaration type declaration
MTHSIG18	updateoutput update output compilationunit compilation unit compilationunit compilation unit classorinterfacetypedetails type details cit list bodydeclaration body declaration parent
MTHSIG15	getregisteredimports registered imports
MTHSIG16	getannotations annotations
MTHSIG13	getextendstypes types
MTHSIG14	getimplementstypes types
MTHSIG11	getdeclaredinnertypes declared types
MTHSIG12	getdeclaredinitializers declared initializers
MTHSIG19	getcompilationunitcontents compilation unit contents classorinterfacetypedetails type details cit
VARSIG45	javatype type target
VARSIG44	javasymbolname symbol
VARSIG43	list enumconstantdeclaration constant declaration constants
VARSIG42	compilationunitservices compilation unit services compilationunitservices compilation unit services
VARSIG49	javatype type target
VARSIG48	javatype type
VARSIG47	compilationunit compilation unit compilationunit compilation unit
VARSIG46	javatype type current
MTHSIG10	getdeclaredmethods declared methods
VARIABLES	compilationunit compilation unit typedeclaration type declaration declaredbymetadataid declared metadata typename type metadataservice metadata service physicaltypemetadataprovider physical type metadata provider importdeclaration declaration candidate enumconstants constants candidate candidate bodydeclaration body declaration member typecontents type contents declaredbymetadataid declared metadata typename type metadataservice metadata service physicaltypemetadataprovider physical type metadata provider typedeclaration type declaration arg arg compilationunit compilation unit cit parent importtype type current current candidate constant candidate candidate candidate candidate importdeclaration declaration importdeclaration declaration importdeclaration declaration cit compilationunitservices compilation unit services constants target current compilationunit compilation unit target current compilationunit compilation unit filemanager file manager cit fileidentifier file identifier declaredbymetadataid declared metadata physicaltypecategory physical type category declaredconstructors declared constructors declaredfields declared fields declaredmethods declared methods declaredinnertypes declared types declaredinitializers declared initializers superclass extendstypes types implementstypes types registeredimports registered imports annotations enumconstants constants compilationunit compilation unit clazz enumclazz clazz imports compilationunitpackage compilation unit typeparameternames type parameter names innertypes types unsupported message prefix modifier compilationunitservices compilation unit services qualifier simplename simple fullname full typepackage type type newimport newname arg extendslist list javatype type superclass superclassid superclass superptm ptm constants implementslist list javatype type annotationslist annotations list members castmember member fieldmetadata field metadata castmember member castmember member constructormetadata constructor metadata castmember member innertype type innertypemetadataid type metadata classorinterfacetypedetails type details referencetypes reference types visitor typetoimportexpr type expr javaparsermodifier parser modifier typedeclaration type declaration classorinterfacedeclaration declaration implementslist list isinterface pnameexpr expr tempname temp presolvedname resolved extendslist list compilationunitservices compilation unit services annotations enumdeclaration declaration constants referencetypes reference types imported imports importpackage importtype type compilationunit compilation unit types newentry entry nameexpr expr resolvedname resolved nameexpr expr resolvedname resolved newcontents contents tsc
