VARSIG3	add
VARSIG2	monitoringrequest monitoring request monitoringrequest monitoring request
VARSIG4	runtimeexception runtime exception
COMMENTS	link monitoringrequest monitoring request applied link undoableoperation undoable operation
CLASSES	undoablemonitoringrequest undoable monitoring request
VARSIG1	filemonitorservice file monitor service filemonitorservice file monitor service
VARSIG0	undomanager undo manager undomanager undo manager
METHODS	undoablemonitoringrequest undoable monitoring request reset undo
MTHSIG0	undoablemonitoringrequest undoable monitoring request undomanager undo manager undomanager undo manager filemonitorservice file monitor service filemonitorservice file monitor service monitoringrequest monitoring request monitoringrequest monitoring request add
MTHSIG1	reset
PACKAGE	springframework roo process manager internal
MTHSIG2	undo
VARIABLES	undomanager undo manager filemonitorservice file monitor service monitoringrequest monitoring request add undomanager undo manager filemonitorservice file monitor service monitoringrequest monitoring request add resetrequired reset required
