VARSIG7	methodmetadata metadata accessor
VARSIG6	javatype type javatype type
VARSIG9	javatype type governor
VARSIG8	javatype type generictype type
VARSIG3	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG2	javatype type aspectname aspect
VARSIG5	javatype type type
VARSIG4	itdfilename filename
COMMENTS	link webscaffoldmetadata web scaffold metadata governor type details safely parse annotation expect lookup form backing object object metadata lookup metadata depend abort couldn find dependent metadata informed dependent metadata informed referenced type changed monitor parent type parent trickle governing type unable metadata javatype type project unable entity metadata entity project interested identifiers version fields interested fields exposed mutator interested type application
VARSIG1	metadataidentificationstring metadata identification
VARSIG0	componentcontext component context context
VARSIG17	path path
MTHSIG4	hasmutator mutator fieldmetadata field metadata fieldmetadata field metadata beaninfometadata bean info metadata bim
VARSIG12	beaninfometadata bean info metadata bim
MTHSIG5	isspecialtype special type javatype type javatype type
VARSIG11	fieldmetadata field metadata fieldmetadata field metadata
MTHSIG6	getitduniquenessfilenamesuffix uniqueness filename suffix
VARSIG10	javatype type controller
MTHSIG7	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
MTHSIG0	activate componentcontext component context context
VARSIG16	javatype type javatype type
MTHSIG1	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
VARSIG15	metadataidentificationstring metadata identification
PACKAGE	springframework roo addon web mvc controller
MTHSIG2	getspecialdomaintypes special domain types javatype type javatype type
VARSIG14	javatype type javatype type
MTHSIG3	installconversionservice install conversion service javatype type governor
VARSIG13	methodmetadata metadata mutator
MTHSIG8	createlocalidentifier create local identifier javatype type javatype type path path
MTHSIG9	getprovidestype type
CLASSES	webscaffoldmetadataproviderimpl web scaffold metadata provider impl
METHODS	activate getmetadata metadata getspecialdomaintypes special domain types installconversionservice install conversion service hasmutator mutator isspecialtype special type getitduniquenessfilenamesuffix uniqueness filename suffix getgovernorphysicaltypeidentifier governor physical type identifier createlocalidentifier create local identifier getprovidestype type
VARIABLES	context metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename type javatype type accessor generictype type governor controller fieldmetadata field metadata bim mutator javatype type metadataidentificationstring metadata identification javatype type path controlleroperations controller operations typelocationservice type location service conversionserviceoperations conversion service operations annotationvalues annotation values javatype type path beaninfometadatakey bean info metadata key entitymetadatakey entity metadata key findermetdadatakey finder metdadata key beaninfometadata bean info metadata entitymetadata entity metadata findermetadata finder metadata specialtypes special types bim fieldmetadata field metadata type rooconversionservice roo conversion service roowebscaffold roo web scaffold controllers annotation attr javatype type path physicaltypeidentifier physical type identifier
