VARSIG7	javatypewrapper type wrapper domainjavatype domain type
VARSIG6	linkedhashset linked hash set javatypewrapper type wrapper domainjavatypes domain types
VARSIG9	javatypewrapper type wrapper
VARSIG8	linkedhashset linked hash set javatypewrapper type wrapper domainjavatypes domain types
VARSIG3	identifier
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG4	javatype type aspectname aspect
COMMENTS	represents metadata application wide conversion service generates methods afterpropertiesset properties set overrides initializingbean initializing bean lifecycle parent installlabelconverters install label converters formatterregistry formatter registry registry registers converter methods converter scaffolded domain types associations testing methods
VARSIG1	javatype type aspectname aspect
VARSIG0	identifier
MTHSIG4	getinstallmethodbuilder install builder
VARSIG12	convertermethodname converter
MTHSIG5	getafterpropertiessetmethod properties set methodmetadata metadata installconvertersmethod install converters
VARSIG11	javatypewrapper type wrapper roojavatype roo type
MTHSIG6	getgovernormethod governor methodname list annotatedjavatype annotated type parameters
VARSIG10	javatypewrapper type wrapper
MTHSIG0	conversionservicemetadata conversion service metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
MTHSIG1	conversionservicemetadata conversion service metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata linkedhashset linked hash set javatypewrapper type wrapper domainjavatypes domain types
VARSIG15	list annotatedjavatype annotated type parameters
PACKAGE	springframework roo addon web mvc controller
MTHSIG2	getlabelconvertertypes label converter types linkedhashset linked hash set javatypewrapper type wrapper domainjavatypes domain types
VARSIG14	methodname
MTHSIG3	getconvertermethod converter javatypewrapper type wrapper roojavatype roo type convertermethodname converter
VARSIG13	methodmetadata metadata installconvertersmethod install converters
CLASSES	conversionservicemetadata conversion service metadata
METHODS	conversionservicemetadata conversion service metadata conversionservicemetadata conversion service metadata getlabelconvertertypes label converter types getconvertermethod converter getinstallmethodbuilder install builder getafterpropertiessetmethod properties set getgovernormethod governor
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata domainjavatypes domain types domainjavatype domain type domainjavatypes domain types roojavatype roo type convertermethodname converter installconvertersmethod install converters methodname parameters logger installmethodbuilder install builder convertermethodname converter installmethod install alltypes types labelconvertertypes label converter types params converterjavatype converter type bodybuilder body builder labelmethods label methods returntype type methodname parameters parameternames parameter names methodname parameters parameternames parameter names bodybuilder body builder
