VARSIG7	javatype type javatype type
VARSIG6	metadataidentificationstring metadata identification
VARSIG9	noargconstructor arg constructor
VARSIG8	path path
VARSIG3	javatype type aspectname aspect
VARSIG2	metadataidentificationstring metadata identification
VARSIG5	itdfilename filename
VARSIG4	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
COMMENTS	link identifiermetadata identifier metadata governor type details safely disabling automated creation arg constructors add providing sophisticated constructor creation facilities noargconstructor arg constructor automatically link entitymetadata entity metadata arg constructor arg constructors defined link physicaltypemetadata physical type metadata defaults
CLASSES	identifiermetadataproviderimpl identifier metadata provider impl
VARSIG1	componentcontext component context context
VARSIG0	componentcontext component context context
METHODS	activate deactivate getmetadata metadata getitduniquenessfilenamesuffix uniqueness filename suffix getgovernorphysicaltypeidentifier governor physical type identifier createlocalidentifier create local identifier getprovidestype type setnoargconstructor set arg constructor
MTHSIG4	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
MTHSIG5	createlocalidentifier create local identifier javatype type javatype type path path
MTHSIG6	getprovidestype type
MTHSIG7	setnoargconstructor set arg constructor noargconstructor arg constructor
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
PACKAGE	springframework roo addon entity
MTHSIG2	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
MTHSIG3	getitduniquenessfilenamesuffix uniqueness filename suffix
VARIABLES	context context metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename metadataidentificationstring metadata identification javatype type path noargconstructor arg constructor configurablemetadataprovider configurable metadata provider serializablemetadataprovider serializable metadata provider noargconstructor arg constructor javatype type identifierserviceresult identifier service result javatype type path
