VARSIG7	required
VARSIG6	paramname
VARSIG9	methodmetadata metadata
VARSIG8	javasymbolname symbol methodname
VARSIG3	metadataservice metadata service metadataservice metadata service
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata
VARSIG4	solrwebsearchannotationvalues solr web search annotation values annotationvalues annotation values
COMMENTS	metadata link roosolrwebsearchable roo solr web searchable create representation desired output access parameter scan treat match authoritative scan superclass caller expected scan current expected won check parameters
VARSIG1	javatype type aspectname aspect
VARSIG0	identifier
MTHSIG4	getrequestparamannotation request annotation paramname required
VARSIG12	metadataidentificationstring metadata identification
MTHSIG5	methodexists exists javasymbolname symbol methodname
VARSIG11	path path
MTHSIG6	tostring
VARSIG10	javatype type javatype type
MTHSIG7	getmetadataidentifertype metadata identifer type
MTHSIG0	solrwebsearchmetadata solr web search metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata metadataservice metadata service metadataservice metadata service solrwebsearchannotationvalues solr web search annotation values annotationvalues annotation values webscaffoldmetadata web scaffold metadata webscaffoldmetadata web scaffold metadata
MTHSIG1	getsearchmethod search
PACKAGE	springframework roo addon solr
MTHSIG2	getautocompletemethod autocomplete
VARSIG14	metadataidentificationstring metadata identification
MTHSIG3	getsolrmetadata solr metadata
VARSIG13	metadataidentificationstring metadata identification
MTHSIG8	createidentifier create identifier javatype type javatype type path path
MTHSIG9	getjavatype type metadataidentificationstring metadata identification
MTHSIG11	isvalid valid metadataidentificationstring metadata identification
CLASSES	solrwebsearchmetadata solr web search metadata
METHODS	solrwebsearchmetadata solr web search metadata getsearchmethod search getautocompletemethod autocomplete getsolrmetadata solr metadata getrequestparamannotation request annotation methodexists exists tostring getmetadataidentifertype metadata identifer type createidentifier create identifier getjavatype type getpath path isvalid valid
MTHSIG10	getpath path metadataidentificationstring metadata identification
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata metadataservice metadata service annotationvalues annotation values webscaffoldmetadata web scaffold metadata paramname required methodname javatype type path metadataidentificationstring metadata identification metadataidentificationstring metadata identification metadataidentificationstring metadata identification type type controllerpath controller path metadataservice metadata service webscaffoldmetadata web scaffold metadata annotationvalues annotation values targetobject target object methodname paramtypes types paramnames names requestmappingattributes request mapping attributes requestmapping request mapping annotations solrquerysimplename solr query simple bodybuilder body builder methodbuilder builder methodname reqmapattributes req map attributes annotations paramtypes types paramnames names solrquerysimplename solr query simple facetfieldsimplename facet field simple queryresponsesimplename query response simple bodybuilder body builder methodbuilder builder targetobject target object solrmetadata solr metadata attributevalue attribute paramannotations annotations annotationbuilder annotation builder tsc
