VARSIG7	javasymbolname symbol findername finder
VARSIG6	beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG9	beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG8	plural
VARSIG3	set javasymbolname symbol exclusions
VARSIG2	maxdepth max depth
VARSIG5	plural
VARSIG4	javasymbolname symbol findername finder
COMMENTS	link dynamicfinderservices dynamic finder services generation dynamic finder methods based link javasymbolname symbol findbyfirstnameandlastname finder combinations create query provide access parameter types names convenient generator combinations finder signatures memberdetails member details metadata link javatype type finder signatures combinations generated required plural pluralised form entity finder names required maxdepth max depth depth combinations finder signatures combinations depth combine maximum attributes link beaninfometadata bean info metadata required exclusions field names contained suggested finders finder signatures depth generates named jpa query jpa entity manager queries findername finder finder signature valid signature required beaninfometadata bean info metadata metadata link beaninfometadata bean info metadata finder signatures combinations generated required jpa named query combination jpa entity manager queries order find parameter types named jpa query findername finder finder signature valid signature required beaninfometadata bean info metadata metadata link beaninfometadata bean info metadata finder signatures combinations generated required link javatype type array representing parameter types finder signature presented combination link getjpaqueryfor jpa query javasymbolname symbol beaninfometadata bean info metadata order find parameter names named jpa query findername finder finder signature valid signature required beaninfometadata bean info metadata metadata link beaninfometadata bean info metadata finder signatures combinations generated required link javasymbolname symbol array representing parameter names finder signature presented
CLASSES	dynamicfinderservices dynamic finder services
VARSIG1	plural
VARSIG0	memberdetails member details memberdetails member details
METHODS	getfindersfor finders getjpaqueryfor jpa query getparametertypes parameter types getparameternames parameter names
VARSIG12	beaninfometadata bean info metadata beaninfometadata bean info metadata
VARSIG11	plural
VARSIG10	javasymbolname symbol findername finder
MTHSIG0	getfindersfor finders memberdetails member details memberdetails member details plural maxdepth max depth set javasymbolname symbol exclusions
MTHSIG1	getjpaqueryfor jpa query javasymbolname symbol findername finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata
PACKAGE	springframework roo addon finder
MTHSIG2	getparametertypes parameter types javasymbolname symbol findername finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata
MTHSIG3	getparameternames parameter names javasymbolname symbol findername finder plural beaninfometadata bean info metadata beaninfometadata bean info metadata
VARIABLES	memberdetails member details plural maxdepth max depth exclusions findername finder plural beaninfometadata bean info metadata findername finder plural beaninfometadata bean info metadata findername finder plural beaninfometadata bean info metadata
