MTHSIG0	embed url viewname view
VARSIG3	map options
MTHSIG1	install viewname view map options
VARSIG2	viewname view
PACKAGE	springframework roo addon web mvc embedded provider
MTHSIG2	tostring
COMMENTS	provider embed video streams url specific install expected format http ustream flash live expected format http livestream wkrg oil spill
CLASSES	videostreamembeddedprovider video stream embedded provider
VARIABLES	url viewname view viewname view options split options split options provider video videostreamprovider video stream provider tsc
VARSIG1	viewname view
VARSIG0	url
METHODS	embed install tostring
