MTHSIG28	getsetvaluepickermethod set picker
VARSIG7	projectmetadata project metadata pmd
MTHSIG29	getsetvaluepickermethodname set picker
VARSIG6	methodmetadata metadata
MTHSIG26	isenum
VARSIG9	renderername renderer
MTHSIG27	isembeddable embeddable
VARSIG8	javatype type javatype type
MTHSIG24	isproxy proxy
VARSIG3	projectmetadata project metadata projectmetadata project metadata
MTHSIG25	iscollection collection
VARSIG2	physicaltypemetadata physical type metadata ptmd
MTHSIG22	foreditview edit view
VARSIG5	physicaltypemetadata physical type metadata ptmd
MTHSIG23	formobilelistview mobile list view renderername renderer
VARSIG4	javatype type type
COMMENTS	symbolname symbol startswith starts todo ugly hack
VARSIG1	methodmetadata metadata gettermethod getter
VARSIG0	projectmetadata project metadata projectmetadata project metadata
MTHSIG4	getgetter getter
MTHSIG5	gettype type
MTHSIG6	getpropertytype property type
VARSIG10	annotationmetadata annotation metadata annotation
MTHSIG7	isboolean
MTHSIG0	gwtproxyproperty gwt proxy property projectmetadata project metadata projectmetadata project metadata methodmetadata metadata gettermethod getter physicaltypemetadata physical type metadata ptmd
MTHSIG1	gwtproxyproperty gwt proxy property projectmetadata project metadata projectmetadata project metadata javatype type type physicaltypemetadata physical type metadata ptmd
PACKAGE	springframework roo addon gwt
MTHSIG2	isaccessor accessor methodmetadata metadata
MTHSIG3	getname
MTHSIG20	getcheckboxsubtype checkbox subtype
MTHSIG21	getreadablename readable
MTHSIG8	isdate
MTHSIG9	isprimitive primitive
MTHSIG17	getrenderer renderer
MTHSIG18	getproxyrenderertype proxy renderer type
MTHSIG15	getcollectionrenderer collection renderer
MTHSIG16	getformatter formatter
MTHSIG13	getseteditortype set editor type
MTHSIG14	geteditor editor
MTHSIG11	getbinder binder
MTHSIG12	getseteditor set editor
CLASSES	gwtproxyproperty gwt proxy property
METHODS	gwtproxyproperty gwt proxy property gwtproxyproperty gwt proxy property isaccessor accessor getname getgetter getter gettype type getpropertytype property type isboolean isdate isprimitive primitive isstring getbinder binder getseteditor set editor getseteditortype set editor type geteditor editor getcollectionrenderer collection renderer getformatter formatter getrenderer renderer getproxyrenderertype proxy renderer type getproxyrenderertype proxy renderer type getcheckboxsubtype checkbox subtype getreadablename readable foreditview edit view formobilelistview mobile list view isproxy proxy iscollection collection isenum isembeddable embeddable getsetvaluepickermethod set picker getsetvaluepickermethodname set picker iscollectionofproxy collection proxy getvaluetype type
MTHSIG19	getproxyrenderertype proxy renderer type projectmetadata project metadata pmd javatype type javatype type
MTHSIG31	getvaluetype type
MTHSIG10	isstring
VARIABLES	projectmetadata project metadata gettermethod getter ptmd projectmetadata project metadata type ptmd pmd javatype type renderername renderer annotation projectmetadata project metadata getter type ptmd prefix symbolname symbol typename type arg initializer annotations
MTHSIG30	iscollectionofproxy collection proxy
