VARSIG7	list allowedfindermenuids allowed finder menu ids
VARSIG6	javasymbolname symbol menucategoryname menu category
VARSIG9	javasymbolname symbol menuitemname menu item
VARSIG8	javasymbolname symbol menucategoryname menu category
VARSIG3	globalmessagecode global message code
VARSIG2	menuitemlabel menu item label
VARSIG5	idprefix prefix
VARSIG4	link
COMMENTS	link menuoperations menu operations addition menu categories menu items category menu item identifier exists overwritten replaced addons determine category menu item identifiers clashes addons recommended category identifier naming convention addon intention category intention represents identifier diffentiate categories addon recommended menu item identifier naming convention addon intention menu item menucategoryname menu category identifier menu category required menuitemid menu item menu item identifier required globalmessagecode global message code message code menu item required link menu item link required idprefix prefix prefix menu item optional menuoperations menu operations menu item prefix attempts locate unused finder menu items remove menucategoryname menu category identifier menu category required allowedfindermenuids allowed finder menu ids finder menu ids installed attempts locate menu item remove menucategoryname menu category identifier menu category required menuitemname menu item menu item identifier required idprefix prefix prefix menu item optional menuoperations menu operations menu item prefix
CLASSES	menuoperations menu operations
VARSIG1	javasymbolname symbol menuitemid menu item
VARSIG0	javasymbolname symbol menucategoryname menu category
METHODS	addmenuitem add menu item cleanupfindermenuitems clean finder menu items cleanupmenuitem clean menu item
VARSIG10	idprefix prefix
MTHSIG0	addmenuitem add menu item javasymbolname symbol menucategoryname menu category javasymbolname symbol menuitemid menu item menuitemlabel menu item label globalmessagecode global message code link idprefix prefix
MTHSIG1	cleanupfindermenuitems clean finder menu items javasymbolname symbol menucategoryname menu category list allowedfindermenuids allowed finder menu ids
PACKAGE	springframework roo addon web mvc jsp menu
MTHSIG2	cleanupmenuitem clean menu item javasymbolname symbol menucategoryname menu category javasymbolname symbol menuitemname menu item idprefix prefix
VARIABLES	menucategoryname menu category menuitemid menu item menuitemlabel menu item label globalmessagecode global message code link idprefix prefix menucategoryname menu category allowedfindermenuids allowed finder menu ids menucategoryname menu category menuitemname menu item idprefix prefix menu item prefix finder menu item prefix
