MTHSIG22	getdbrexmlpath dbre xml path
MTHSIG4	binddatabaselistener bind database listener databaselistener database listener listener
MTHSIG5	unbinddatabaselistener unbind database listener databaselistener database listener listener
MTHSIG6	supportsschema supports schema displayaddons display add ons
MTHSIG7	getdatabaseschemas database schemas displayaddons display add ons
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
PACKAGE	springframework roo addon dbre
MTHSIG2	onprocessmanagerstatuschange process manager status change processmanagerstatus process manager status oldstatus status processmanagerstatus process manager status newstatus status
MTHSIG3	considerstartup startup processmanagerstatus process manager status newstatus status
MTHSIG20	getconnection connection displayaddons display add ons
MTHSIG21	getconnectionpropertiesfromdatanucleusconfiguration connection properties data nucleus configuration
MTHSIG8	getlastschema schema
VARSIG30	element propertyelement property element
MTHSIG9	getdatabase database schema schema
CLASSES	dbremodelserviceimpl dbre model service impl
VARSIG29	exception
VARSIG28	displayaddons display add ons
METHODS	activate deactivate onprocessmanagerstatuschange process manager status change considerstartup startup binddatabaselistener bind database listener unbinddatabaselistener unbind database listener supportsschema supports schema getdatabaseschemas database schemas getlastschema schema getdatabase database refreshdatabase refresh database refreshdatabasesafely refresh database safely setview set view setincludetables set include tables setexcludetables set exclude tables getdatabase database publishtolisteners publish listeners serializedatabasemetadatatofile serialize database metadata file deserializeschemametadataifpossible deserialize schema metadata deserializedatabasemetadataifpossible deserialize database metadata getconnection connection getconnectionpropertiesfromdatanucleusconfiguration connection properties data nucleus configuration getdbrexmlpath dbre xml path
VARSIG23	databaselistener database listener listener
VARSIG22	database database
VARSIG21	exception
VARSIG20	safemode safe mode
VARSIG27	exception
VARSIG26	exception
VARSIG25	database database
VARSIG24	runtimeexception runtime exception ignoreandmoveon ignore move
VARSIG7	databaselistener database listener listener
VARSIG6	runtimeexception runtime exception
VARSIG9	exception
VARSIG8	displayaddons display add ons
VARSIG3	processmanagerstatus process manager status newstatus status
VARSIG2	processmanagerstatus process manager status oldstatus status
VARSIG5	databaselistener database listener listener
VARSIG4	processmanagerstatus process manager status newstatus status
COMMENTS	implementation link dbremodelservice dbre model service time starting listeners database simply calling registered listeners discover database listener missed startup event share they online safe mode avoid telling database separately they command schema set fallback compute file load note change schema field getter side free cached copy dbre xml file sourced version force grab safe mode earlier assertions determine schema store schema schema call happen schema read roo dbre xml file schema deserialized disk database cache don change notify leave worked store store time load roo they aeroplane flying sydney san francisco don database todo detect gps coordinates they syd sfo lastly let listeners writes database xml note xml file store database database serialize disk required reads database schema xml note xml file store database database schema parsed unavailable reason reads database xml note xml file store database database parsed unavailable reason required properties ignore elements
VARSIG19	forcereadfromdatabase force read database
VARSIG1	componentcontext component context context
VARSIG18	schema schema
VARSIG0	componentcontext component context context
VARSIG17	set excludetables exclude tables
VARSIG12	schema schema
VARSIG11	exception
VARSIG10	displayaddons display add ons
VARSIG16	set includetables include tables
VARSIG15	view
VARSIG14	schema schema
VARSIG13	schema schema
MTHSIG17	serializedatabasemetadatatofile serialize database metadata file database database
MTHSIG18	deserializeschemametadataifpossible deserialize schema metadata
MTHSIG15	getdatabase database schema schema forcereadfromdatabase force read database safemode safe mode
MTHSIG16	publishtolisteners publish listeners database database
MTHSIG13	setincludetables set include tables set includetables include tables
MTHSIG14	setexcludetables set exclude tables set excludetables exclude tables
MTHSIG11	refreshdatabasesafely refresh database safely schema schema
MTHSIG12	setview set view view
MTHSIG19	deserializedatabasemetadataifpossible deserialize database metadata
MTHSIG10	refreshdatabase refresh database schema schema
VARIABLES	context context oldstatus status newstatus status newstatus status listener listener displayaddons display add ons displayaddons display add ons schema schema schema view includetables include tables excludetables exclude tables schema forcereadfromdatabase force read database safemode safe mode database listener ignoreandmoveon ignore move database displayaddons display add ons propertyelement property element propfileoperations prop file operations pathresolver path resolver filemanager file manager connectionprovider connection provider processmanagerstatusprovider process manager status provider cachedintrospections cached introspections lastschema schema view includetables include tables excludetables exclude tables listeners startupcompleted startup completed database connection databasemetadata database meta data schematerm schema term connection introspector database connection introspector database path outputstream output stream dbrexmlpath dbre xml path filedetails file details inputstream input stream dbrexmlpath dbre xml path filedetails file details inputstream input stream connectionproperties connection properties connectionproperties connection properties persistencexmlpath persistence xml path filedetails file details document builder propertyelements property elements properties key
