VARSIG3	size
VARSIG2	column column
VARSIG4	object obj
COMMENTS	represents column database model
CLASSES	indexcolumn column
VARSIG1	
VARSIG0	
METHODS	indexcolumn column getname setname set getcolumn column setcolumn set column getsize size setsize set size hashcode hash code equals tostring
MTHSIG4	setcolumn set column column column
MTHSIG5	getsize size
MTHSIG6	setsize set size size
MTHSIG7	hashcode hash code
MTHSIG0	indexcolumn column
MTHSIG1	getname
PACKAGE	springframework roo addon dbre model
MTHSIG2	setname set
MTHSIG3	getcolumn column
VARIABLES	column size obj serialversionuid serial version uid column size prime result
MTHSIG8	equals object obj
MTHSIG9	tostring
