VARSIG7	javatype type javatype type
VARSIG6	metadataidentificationstring metadata identification
VARSIG8	path path
VARSIG3	javatype type aspectname aspect
VARSIG2	metadataidentificationstring metadata identification
VARSIG5	itdfilename filename
VARSIG4	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
COMMENTS	link integrationtestmetadata integration test metadata integration test classes configurable dod classes provide relationships governor type details safely parse annotation expect lookup dod dod metadata dod conform dod naming conventions lookup entity entity metadata abort couldn find dependent metadata illegalstateexception illegal exception integration test provider unable locate details persistent type javatype type getfullyqualifiedtypename fully qualified type informed dependent metadata monitor parent type parent trickle governing type
CLASSES	integrationtestmetadataprovider integration test metadata provider
VARSIG1	componentcontext component context context
VARSIG0	componentcontext component context context
METHODS	activate deactivate getmetadata metadata getitduniquenessfilenamesuffix uniqueness filename suffix getgovernorphysicaltypeidentifier governor physical type identifier createlocalidentifier create local identifier getprovidestype type
MTHSIG4	getgovernorphysicaltypeidentifier governor physical type identifier metadataidentificationstring metadata identification
MTHSIG5	createlocalidentifier create local identifier javatype type javatype type path path
MTHSIG6	getprovidestype type
MTHSIG0	activate componentcontext component context context
MTHSIG1	deactivate componentcontext component context context
PACKAGE	springframework roo addon test
MTHSIG2	getmetadata metadata metadataidentificationstring metadata identification javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata itdfilename filename
MTHSIG3	getitduniquenessfilenamesuffix uniqueness filename suffix
VARIABLES	context context metadataidentificationstring metadata identification aspectname aspect governorphysicaltypemetadata governor physical type metadata itdfilename filename metadataidentificationstring metadata identification javatype type path configurablemetadataprovider configurable metadata provider projectmetadata project metadata annotationvalues annotation values dodjavatype dod type dataondemandmetadatakey data demand metadata key dataondemandmetadata data demand metadata javatype type path entitymetadatakey entity metadata key entitymetadata entity metadata identifieraccessormethod identifier accessor versionaccessormethod version accessor countmethod count findmethod find findallmethod find findentriesmethods find entries methods flushmethod flush mergemethod merge persistmethod persist removemethod remove javatype type path physicaltypeidentifier physical type identifier
