VARSIG3	javatype type annotationstodetect annotations detect
VARSIG2	list javatype type annotationstodetect annotations detect
VARSIG4	javatype type annotationstodetect annotations detect
COMMENTS	locates types annotations processes types list annotations supplied link locatedtypecallback located type callback callback implementation process located types annotationstodetect annotations detect list annotations detect type callback link locatedtypecallback located type callback handle processing located type returns set link javatype type possess list annotations annotationstodetect annotations detect list annotations detect type set types annotations returns set link javatype type possess annotations vararg annotationstodetect annotations detect annotations vararg detect type set types annotations returns set link classorinterfacetypedetails type details possess annotations vararg annotationstodetect annotations detect annotations vararg detect type set classorinterfacetypedetails type details annotations
CLASSES	typelocationservice type location service
VARSIG1	locatedtypecallback located type callback callback
VARSIG0	list javatype type annotationstodetect annotations detect
METHODS	processtypeswithannotation process types annotation findtypeswithannotation find types annotation findtypeswithannotation find types annotation findclassesorinterfacedetailswithannotation find classes details annotation
MTHSIG0	processtypeswithannotation process types annotation list javatype type annotationstodetect annotations detect locatedtypecallback located type callback callback
MTHSIG1	findtypeswithannotation find types annotation list javatype type annotationstodetect annotations detect
PACKAGE	springframework roo classpath
MTHSIG2	findtypeswithannotation find types annotation javatype type annotationstodetect annotations detect
MTHSIG3	findclassesorinterfacedetailswithannotation find classes details annotation javatype type annotationstodetect annotations detect
VARIABLES	annotationstodetect annotations detect callback annotationstodetect annotations detect annotationstodetect annotations detect annotationstodetect annotations detect
