VARSIG7	metadataidentificationstr metadata identif 
VARSIG6	itdfilenam filenam 
VARSIG9	path path 
VARSIG8	javatyp type javatyp type 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG4	javatyp type aspectnam aspect 
COMMENTS	link findermetadata finder metadata governor type detail safe work mid metadata depend lookup metadata depend abort couldn find depend metadata inform depend metadata 
CLASSES	findermetadataprovid finder metadata provid 
VARSIG1	metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri 
VARSIG0	metadataservic metadata servic metadataservic metadata servic 
METHODS	findermetadataprovid finder metadata provid getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
MTHSIG4	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG5	getprovidestyp type 
MTHSIG0	findermetadataprovid finder metadata provid metadataservic metadata servic metadataservic metadata servic metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri filemanag file manag filemanag file manag 
MTHSIG1	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
PACKAGE	springframework roo addon finder 
MTHSIG2	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG3	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARIABLES	metadataservic metadata servic metadatadependencyregistri metadata depend registri filemanag file manag metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam metadataidentificationstr metadata identif javatyp type path javatyp type path beaninfometadatakei bean info metadata kei entitymetadatakei entiti metadata kei beaninfometadata bean info metadata entitymetadata entiti metadata javatyp type path physicaltypeidentifi physic type identifi 
