VARSIG7	javatyp type 
VARSIG6	javasymbolnam symbol finder 
VARSIG9	javatyp type typenam type 
VARSIG8	runtimeexcept runtim except 
VARSIG3	physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
VARSIG2	metadataservic metadata servic metadataservic metadata servic 
VARSIG5	integ depth 
VARSIG4	javatyp type typenam type 
COMMENTS	finder addon oper entiti metadata type finder entiti entiti metadata bean info metadata comput finder avoid displai problemat finder queri queri entiti metadata type finder entiti entiti metadata bean info metadata file exist there entiti metadata reason sourc file line suddenli exist entiti annot confirm type valid finder todo improv detect invalid finder name destin list store attribut copi exist attribut exclud finder attribut ensur arrai string add desir finder let add finder attribut 
CLASSES	finderoper finder oper 
VARSIG1	pathresolv path resolv pathresolv path resolv 
VARSIG0	filemanag file manag filemanag file manag 
METHODS	finderoper finder oper isfindercommandavail finder command listfindersfor list finder installfind instal finder 
VARSIG12	javasymbolnam symbol attributenam attribut 
VARSIG11	runtimeexcept runtim except 
VARSIG10	javasymbolnam symbol findernam finder 
MTHSIG0	finderoper finder oper filemanag file manag filemanag file manag pathresolv path resolv pathresolv path resolv metadataservic metadata servic metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid physicaltypemetadataprovid physic type metadata provid 
MTHSIG1	isfindercommandavail finder command 
PACKAGE	springframework roo addon finder 
MTHSIG2	listfindersfor list finder javatyp type typenam type integ depth 
MTHSIG3	installfind instal finder javatyp type typenam type javasymbolnam symbol findernam finder 
VARSIG13	object 
VARIABLES	filemanag file manag pathresolv path resolv metadataservic metadata servic physicaltypemetadataprovid physic type metadata provid typenam type depth finder typenam type findernam finder attributenam attribut logger filemanag file manag pathresolv path resolv physicaltypemetadataprovid physic type metadata provid metadataservic metadata servic javatyp type path entitymid entiti mid entitymetadata entiti metadata beaninfomid bean info mid beaninfometadata bean info metadata finderservic finder servic finder result paramnam name paramtyp type signatur javatyp type path entitymid entiti mid entitymetadata entiti metadata beaninfomid bean info mid beaninfometadata bean info metadata physicaltypemetadata physic type metadata ptd mutabl annot finderservic finder servic attribut desiredfind desir finder alreadyad val arrayv arrai val annot 
