VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	javatyp type javatyp type 
VARSIG8	metadataidentificationstr metadata identif 
VARSIG3	configurablemetadataprovid configur metadata provid configurablemetadataprovid configur metadata provid 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link integrationtestmetadata integr test metadata dod class configur dod class provid relationship governor type detail safe pars annot expect lookup dod dod metadata dod conform dod name convent lookup entiti entiti metadata abort couldn find depend metadata illegalstateexcept illeg except integr test provid unabl locat detail persist type javatyp type getfullyqualifiedtypenam fulli qualifi type inform depend metadata monitor parent type parent trickl govern type 
CLASSES	integrationtestmetadataprovid integr test metadata provid 
VARSIG1	metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri 
VARSIG0	metadataservic metadata servic metadataservic metadata servic 
METHODS	integrationtestmetadataprovid integr test metadata provid getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
MTHSIG4	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG5	getprovidestyp type 
VARSIG10	path path 
MTHSIG0	integrationtestmetadataprovid integr test metadata provid metadataservic metadata servic metadataservic metadata servic metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri filemanag file manag filemanag file manag configurablemetadataprovid configur metadata provid configurablemetadataprovid configur metadata provid 
MTHSIG1	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
PACKAGE	springframework roo addon test 
MTHSIG2	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG3	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARIABLES	metadataservic metadata servic metadatadependencyregistri metadata depend registri filemanag file manag configurablemetadataprovid configur metadata provid metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam metadataidentificationstr metadata identif javatyp type path annotationvalu annot valu dodjavatyp dod type dataondemandmetadatakei data demand metadata kei dataondemandmetadata data demand metadata javatyp type path entitymetadatakei entiti metadata kei entitymetadata entiti metadata identifieraccessormethod identifi accessor versionaccessormethod version accessor countmethod count findmethod find findallmethod find findentriesmethod find entri method flushmethod flush mergemethod merg persistmethod persist removemethod remov javatyp type path physicaltypeidentifi physic type identifi 
