VARSIG7	itdfilenam filenam 
VARSIG6	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	methodmetadata metadata accessor 
VARSIG3	controlleroper control oper controlleroper control oper 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	javatyp type aspectnam aspect 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	link webscaffoldmetadata web scaffold metadata governor type detail safe pars annot expect lookup form back object object metadata lookup metadata depend abort couldn find depend metadata inform depend metadata inform referenc type chang interest identifi version field interest type applic editor exist monitor parent type parent trickl govern type 
CLASSES	webscaffoldmetadataprovid web scaffold metadata provid 
VARSIG1	metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri 
VARSIG0	metadataservic metadata servic metadataservic metadata servic 
METHODS	webscaffoldmetadataprovid web scaffold metadata provid getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
MTHSIG4	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG5	getprovidestyp type 
VARSIG11	path path 
VARSIG10	javatyp type javatyp type 
MTHSIG0	webscaffoldmetadataprovid web scaffold metadata provid metadataservic metadata servic metadataservic metadata servic metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri filemanag file manag filemanag file manag controlleroper control oper controlleroper control oper 
MTHSIG1	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
PACKAGE	springframework roo addon web mvc control 
MTHSIG2	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG3	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARIABLES	metadataservic metadata servic metadatadependencyregistri metadata depend registri filemanag file manag controlleroper control oper metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam accessor metadataidentificationstr metadata identif javatyp type path controlleroper control oper annotationvalu annot valu javatyp type path beaninfometadatakei bean info metadata kei entitymetadatakei entiti metadata kei findermetdadatakei finder metdadata kei beaninfometadata bean info metadata entitymetadata entiti metadata findermetadata finder metadata type physicaltypeidentifi physic type identifi javatyp type path physicaltypeidentifi physic type identifi 
