MTHSIG28	isprimitivewrapp primit wrapper clazz 
MTHSIG29	isprimitiveorwrapp primit wrapper clazz 
MTHSIG26	getmostspecificmethod specif targetclass target 
MTHSIG27	getstaticmethod clazz methodnam 
MTHSIG24	getmethodcountfornam count clazz methodnam 
MTHSIG25	hasatleastonemethodwithnam clazz methodnam 
MTHSIG22	hasmethod clazz methodnam paramtyp type 
MTHSIG23	getmethodifavail clazz methodnam paramtyp type 
MTHSIG4	resolveclassnam resolv classnam classload loader classload loader 
VARSIG78	classload loader classload loader 
MTHSIG5	resolveprimitiveclassnam resolv primit 
VARSIG77	clazz 
MTHSIG6	ispres classnam 
VARSIG76	clazz 
MTHSIG7	ispres classnam classload loader classload loader 
VARSIG75	object instanc 
MTHSIG0	getdefaultclassload loader 
MTHSIG1	overridethreadcontextclassload overrid thread context loader classload loader classloadertous loader 
MTHSIG2	fornam 
MTHSIG3	fornam classload loader classload loader 
VARSIG79	interfac 
MTHSIG20	hasconstructor constructor clazz paramtyp type 
VARSIG70	object instanc 
MTHSIG21	getconstructorifavail constructor clazz paramtyp type 
MTHSIG8	getuserclass user object instanc 
VARSIG74	ifc 
MTHSIG9	getuserclass user clazz 
VARSIG73	classload loader classload loader 
VARSIG72	clazz 
VARSIG71	clazz 
MTHSIG39	classnamestostr name collect class 
MTHSIG37	classpackageasresourcepath resourc path clazz 
MTHSIG38	classnamestostr name class 
MTHSIG35	convertclassnametoresourcepath convert resourc path classnam 
MTHSIG36	addresourcepathtopackagepath add resourc path path clazz resourcenam resourc 
MTHSIG33	isassignablevalu assign type object 
MTHSIG34	convertresourcepathtoclassnam convert resourc path resourcepath resourc path 
METHODS	getdefaultclassload loader overridethreadcontextclassload overrid thread context loader fornam fornam resolveclassnam resolv resolveprimitiveclassnam resolv primit ispres ispres getuserclass user getuserclass user iscachesaf cach safe getshortnam getshortnam getshortnameasproperti properti getclassfilenam file getpackagenam getqualifiednam qualifi getqualifiednameforarrai qualifi arrai getqualifiedmethodnam qualifi getdescriptivetyp descript type hasconstructor constructor getconstructorifavail constructor hasmethod getmethodifavail getmethodcountfornam count hasatleastonemethodwithnam getmostspecificmethod specif getstaticmethod isprimitivewrapp primit wrapper isprimitiveorwrapp primit wrapper isprimitivearrai primit arrai isprimitivewrapperarrai primit wrapper arrai isassign assign isassignablevalu assign convertresourcepathtoclassnam convert resourc path convertclassnametoresourcepath convert resourc path addresourcepathtopackagepath add resourc path path classpackageasresourcepath resourc path classnamestostr name classnamestostr name getallinterfac interfac getallinterfacesforclass interfac getallinterfacesforclass interfac getallinterfacesasset interfac set getallinterfacesforclassasset interfac set getallinterfacesforclassasset interfac set createcompositeinterfac creat composit isvis visibl 
VARSIG67	clazz 
VARSIG66	resourcenam resourc 
VARSIG65	clazz 
VARSIG64	classnam 
