VARSIG3	fullyqualifiednam fulli qualifi 
VARSIG2	javatyp type javatyp type 
VARSIG4	javapackag toplevelpackag top level 
COMMENTS	record type set clear type field ignor attempt set set type set field ignor attempt set type explicitli set type set set 
CLASSES	lastus 
VARSIG1	javapackag javapackag 
VARSIG0	shell shell 
METHODS	lastus setpackag set settyp set type shorten gettoplevelpackag top level settoplevelpackag set top level getjavatyp type getjavapackag 
MTHSIG4	gettoplevelpackag top level 
MTHSIG5	settoplevelpackag set top level javapackag toplevelpackag top level 
MTHSIG6	getjavatyp type 
MTHSIG7	getjavapackag 
MTHSIG0	lastus shell shell 
MTHSIG1	setpackag set javapackag javapackag 
PACKAGE	springframework roo classpath convert 
MTHSIG2	settyp set type javatyp type javatyp type 
MTHSIG3	shorten fullyqualifiednam fulli qualifi 
VARIABLES	shell javapackag javatyp type fullyqualifiednam fulli qualifi toplevelpackag top level javapackag javatyp type shell toplevelpackag top level 
