VARSIG7	providestyp type 
VARSIG6	metadataidentificationstr metadata identif 
VARSIG8	metadataidentificationstr metadata identif 
VARSIG3	providestyp type 
VARSIG2	path path 
VARSIG5	providestyp type 
VARSIG4	metadataidentificationstr metadata identif 
COMMENTS	produc metadata identif string repres link javatyp type locat link classloaderinclusivepath classload inclus path metadata identif string separ path fulli qualifi type presenc question mark charact question mark reserv link path present metadata identif appear valid providestyp type verifi present type requir metadataidentificationstr metadata identif evalu empti appear valid 
CLASSES	physicaltypeidentifiernamingutil physic type identifi name util 
VARSIG1	javatyp type javatyp type 
VARSIG0	providestyp type 
METHODS	createidentifi creat identifi getjavatyp type getpath path isvalid valid 
MTHSIG0	createidentifi creat identifi providestyp type javatyp type javatyp type path path 
MTHSIG1	getjavatyp type providestyp type metadataidentificationstr metadata identif 
PACKAGE	springframework roo classpath 
MTHSIG2	getpath path providestyp type metadataidentificationstr metadata identif 
MTHSIG3	isvalid valid providestyp type metadataidentificationstr metadata identif 
VARIABLES	providestyp type javatyp type path providestyp type metadataidentificationstr metadata identif providestyp type metadataidentificationstr metadata identif providestyp type metadataidentificationstr metadata identif instanc instanc 
