VARSIG7	upstreamdepend upstream depend 
VARSIG6	metadatanotificationlisten metadata notif listen listen 
VARSIG9	downstreamdepend downstream depend 
VARSIG8	downstreamdepend downstream depend 
VARSIG3	upstreamdepend upstream depend 
VARSIG2	downstreamdepend downstream depend 
VARSIG5	metadatanotificationlisten metadata notif listen listen 
VARSIG4	downstreamdepend downstream depend 
COMMENTS	regist depend metadata identif string metadata free depend metadata includ metadata class metadata instanc depend depend metadata class metadata instanc metadata depend graph limit metadata instanc perform memori effici reason metadata identif string store link metadatadependencyregistri metadata depend registri link metadataitem metadata item instanc store intern applic immut logic perspect item metadata depend piec metadata item metadata repres member appear sourc file depend metadata repres physic sourc file disk item metadata depend piec metadata relationship exemplifi declar metadata repres physic sourc file disk depend member metadata term upstream downstream refer depend member metadata downstream physic sourc file disk metadata physic sourc file disk upstream member metadata term notif link metadatadependencyregistri metadata depend registri maintain refer link metadataservic metadata servic deliv notif link metadataservic metadata servic extens link metadatanotificationlisten metadata notif listen note link metadataservic metadata servic subsequ deliv notif link metadataprovid metadata provid semant defin contract link metadataservic metadata servic snapshot time statist collat empti enabl level trace event deliveri default level trace level major event event downstream depend legal permit depend upstream depend link metadatadependencyregistri metadata depend registri requir verifi upstream depend depend depend downstream depend depend depend downstream depend good metadata design prevent metadata invok receiv respons robust ensur link metadatadependencyregistri metadata depend registri repres circular depend graph argument present link metadataidentificationutil metadata identif util isvalid valid upstreamdepend upstream depend upstream depend requir metadata repres disk file downstreamdepend downstream depend downstream depend requir metadata repres type depend relationship legal regist depend item metadata item metadata present link isvaliddepend valid depend return except gener upstreamdepend upstream depend upstream depend requir metadata repres disk file downstreamdepend downstream depend downstream depend requir metadata repres type regist addit instanc receiv link metadatanotificationlisten metadata notif listen event note event guarante deliv link metadataservic metadata servic receiv attempt regist link metadataservic metadata servic result except listen receiv notif requir deregiost addit instanc receiv link metadatanotificationlisten metadata notif listen event listen regist place simpli return listen longer receiv notif requir remov depend item metadata argument present link metadataidentificationutil metadata identif util isvalid valid depend regist place simpli return upstreamdepend upstream depend upstream depend requir downstreamdepend downstream depend downstream depend requir remov upstream depend regist downstream depend rebuild downstream depend metadata clear depend registri depend present link metadataidentificationutil metadata identif util isvalid valid depend regist place simpli return downstreamdepend downstream depend downstream depend requir downstream depend metadata item notifi upstream metadata item publish notif upstream depend present link metadataidentificationutil metadata identif util isvalid valid upstream depend regist registri advanc notifi downstream depend notif deliv link metadataservic metadata servic initi link metadatanotificationlisten metadata notif listen regist instanc upstreamdepend upstream depend gener notif requir obtain list downstream depend metadata item upstream depend present link metadataidentificationutil metadata identif util isvalid valid upstream depend regist registri advanc downstream depend upstreamdepend upstream depend find downstream item requir immut set depend set empti obtain list upstream depend metadata item downstream depend present link metadataidentificationutil metadata identif util isvalid valid downstreamdepend downstream depend find upstream item requir immut set depend set empti 
VARSIG1	upstreamdepend upstream depend 
VARSIG0	trace 
MTHSIG4	addnotificationlisten add notif listen metadatanotificationlisten metadata notif listen listen 
VARSIG12	downstreamdepend downstream depend 
MTHSIG5	removenotificationlisten remov notif listen metadatanotificationlisten metadata notif listen listen 
VARSIG11	upstreamdepend upstream depend 
MTHSIG6	deregisterdepend deregist depend upstreamdepend upstream depend downstreamdepend downstream depend 
VARSIG10	upstreamdepend upstream depend 
MTHSIG7	deregisterdepend deregist depend downstreamdepend downstream depend 
MTHSIG0	gettim time 
MTHSIG1	settrac set trace trace 
PACKAGE	springframework roo metadata 
MTHSIG2	isvaliddepend valid depend upstreamdepend upstream depend downstreamdepend downstream depend 
MTHSIG3	registerdepend regist depend upstreamdepend upstream depend downstreamdepend downstream depend 
MTHSIG8	notifydownstream notifi downstream upstreamdepend upstream depend 
MTHSIG9	getdownstream downstream upstreamdepend upstream depend 
CLASSES	metadatadependencyregistri metadata depend registri 
METHODS	gettim time settrac set trace isvaliddepend valid depend registerdepend regist depend addnotificationlisten add notif listen removenotificationlisten remov notif listen deregisterdepend deregist depend deregisterdepend deregist depend notifydownstream notifi downstream getdownstream downstream getupstream upstream 
MTHSIG10	getupstream upstream downstreamdepend downstream depend 
VARIABLES	trace upstreamdepend upstream depend downstreamdepend downstream depend upstreamdepend upstream depend downstreamdepend downstream depend listen listen upstreamdepend upstream depend downstreamdepend downstream depend downstreamdepend downstream depend upstreamdepend upstream depend upstreamdepend upstream depend downstreamdepend downstream depend 
