VARSIG7	messag 
VARSIG6	fullpathfromroot full path root 
VARSIG9	ioexcept except ioe 
VARSIG8	projectmetadata project metadata projectmetadata project metadata 
VARSIG3	targetfilenam target filenam 
VARSIG2	templat templat 
VARSIG5	ioexcept except ioe 
VARSIG4	projectmetadata project metadata projectmetadata project metadata 
COMMENTS	seri templat file add develop destin assembl xml read templat insert user user output file user 
CLASSES	addonjumpstartoper add jumpstart oper 
VARSIG1	filemanag file manag filemanag file manag 
VARSIG0	metadataservic metadata servic metadataservic metadata servic 
METHODS	addonjumpstartoper add jumpstart oper instal installifneed instal need writetextfil write text file 
MTHSIG0	addonjumpstartoper add jumpstart oper metadataservic metadata servic metadataservic metadata servic filemanag file manag filemanag file manag 
MTHSIG1	instal templat templat 
PACKAGE	springframework roo addon maven 
MTHSIG2	installifneed instal need targetfilenam target filenam projectmetadata project metadata projectmetadata project metadata 
MTHSIG3	writetextfil write text file fullpathfromroot full path root messag projectmetadata project metadata projectmetadata project metadata 
VARIABLES	metadataservic metadata servic filemanag file manag templat targetfilenam target filenam projectmetadata project metadata ioe fullpathfromroot full path root messag projectmetadata project metadata ioe metadataservic metadata servic filemanag file manag projectmetadata project metadata packagepath path destinationfil destin file templateinputstream templat input stream input mutablefil mutabl file path file mutablefil mutabl file input 
