VARSIG7	modifi 
VARSIG6	javatyp type 
VARSIG9	list constructormetadata constructor metadata declaredconstructor declar constructor 
VARSIG8	physicaltypecategori physic type categori physicaltypecategori physic type categori 
VARSIG3	physicaltypecategori physic type categori physicaltypecategori physic type categori 
VARSIG2	modifi 
VARSIG5	declaredbymetadataid declar metadata 
VARSIG4	list annotationmetadata annot metadata typeannot type annot 
COMMENTS	represent link classorinterfacetypedetail type detail 
VARSIG1	javatyp type 
VARSIG0	declaredbymetadataid declar metadata 
MTHSIG4	getphysicaltypecategori physic type categori 
VARSIG12	classorinterfacetypedetail type detail superclass 
MTHSIG5	getnam 
VARSIG11	list methodmetadata metadata declaredmethod declar method 
MTHSIG6	getdeclaredconstructor declar constructor 
VARSIG10	list fieldmetadata field metadata declaredfield declar field 
MTHSIG7	getenumconst constant 
MTHSIG0	defaultclassorinterfacetypedetail type detail declaredbymetadataid declar metadata javatyp type modifi physicaltypecategori physic type categori physicaltypecategori physic type categori list annotationmetadata annot metadata typeannot type annot 
VARSIG16	list javasymbolnam symbol enumconst constant 
MTHSIG1	defaultclassorinterfacetypedetail type detail declaredbymetadataid declar metadata javatyp type modifi physicaltypecategori physic type categori physicaltypecategori physic type categori list constructormetadata constructor metadata declaredconstructor declar constructor list fieldmetadata field metadata declaredfield declar field list methodmetadata metadata declaredmethod declar method classorinterfacetypedetail type detail superclass list javatyp type extendstyp type list javatyp type implementstyp type list annotationmetadata annot metadata typeannot type annot list javasymbolnam symbol enumconst constant 
VARSIG15	list annotationmetadata annot metadata typeannot type annot 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getdeclaredbymetadataid declar metadata 
VARSIG14	list javatyp type implementstyp type 
MTHSIG3	getmodifi modifi 
VARSIG13	list javatyp type extendstyp type 
MTHSIG8	getdeclaredfield declar field 
MTHSIG9	getdeclaredmethod declar method 
MTHSIG13	getsuperclass superclass 
MTHSIG14	tostr 
MTHSIG11	getimplementstyp type 
MTHSIG12	gettypeannot type annot 
CLASSES	defaultclassorinterfacetypedetail type detail 
METHODS	defaultclassorinterfacetypedetail type detail defaultclassorinterfacetypedetail type detail getdeclaredbymetadataid declar metadata getmodifi modifi getphysicaltypecategori physic type categori getnam getdeclaredconstructor declar constructor getenumconst constant getdeclaredfield declar field getdeclaredmethod declar method getextendstyp type getimplementstyp type gettypeannot type annot getsuperclass superclass tostr 
MTHSIG10	getextendstyp type 
VARIABLES	declaredbymetadataid declar metadata modifi physicaltypecategori physic type categori typeannot type annot declaredbymetadataid declar metadata modifi physicaltypecategori physic type categori declaredconstructor declar constructor declaredfield declar field declaredmethod declar method superclass extendstyp type implementstyp type typeannot type annot enumconst constant physicaltypecategori physic type categori declaredconstructor declar constructor declaredfield declar field declaredmethod declar method superclass extendstyp type implementstyp type typeannot type annot enumconst constant modifi declaredbymetadataid declar metadata tsc 
