VARSIG3	enumtyp type enumtyp type 
VARSIG2	javasymbolnam symbol fieldnam field 
VARSIG4	list annotationmetadata annot metadata annot 
COMMENTS	field intend jsr creat enumer annot 
CLASSES	enumfield field 
VARSIG1	javatyp type fieldtyp field type 
VARSIG0	physicaltypeidentifi physic type identifi 
METHODS	enumfield field getenumtyp type setenumtyp set type decorateannotationslist decor annot list 
MTHSIG0	enumfield field physicaltypeidentifi physic type identifi javatyp type fieldtyp field type javasymbolnam symbol fieldnam field 
MTHSIG1	getenumtyp type 
PACKAGE	springframework roo classpath oper jsr jsr 
MTHSIG2	setenumtyp set type enumtyp type enumtyp type 
MTHSIG3	decorateannotationslist decor annot list list annotationmetadata annot metadata annot 
VARIABLES	physicaltypeidentifi physic type identifi fieldtyp field type fieldnam field enumtyp type annot enumtyp type attribut 
