VARSIG7	object
VARSIG6	
VARSIG3	
VARSIG2	
VARSIG5	
VARSIG4	
COMMENTS	returns character position equivalent link charat handles overly large indices read can read based character whitespace character check count number zeroes leading number compared skip leading spaces zeros count consecutive zeroes count consecutive zeroes process digits strings compare caller call strcmp tie longest digits wins greatest wins can scanned numbers magnitude remember bias
CLASSES	naturalordercomparator natural order comparator
VARSIG1	
VARSIG0	
METHODS	charat isspace space compare compareright compare stringify
MTHSIG4	stringify object
MTHSIG0	charat
MTHSIG1	isspace space
PACKAGE	springframework roo shell
MTHSIG2	compare
MTHSIG3	compareright compare
VARIABLES	object nza nzb result bias
