VARSIG7	element root
VARSIG6	document document
VARSIG9	fieldmetadata field metadata field
VARSIG8	iscreate create
VARSIG3	fieldmetadata field metadata field
VARSIG2	map javatype type javatypemetadatadetails type metadata details relateddomaintypes domain types
VARSIG5	list fieldmetadata field metadata formfields form fields
VARSIG4	element fieldelement field element
COMMENTS	helper generates contents jsp documents constructor fields can webscaffoldannotationvalues web scaffold annotation values can relateddomaintypes domain types can disable form binding nested fields pks ignoring util map field types roo fields contained embedded type separately field list handle fields onetomany relationships managed side relationship provide link relevant form link url determined effort attempt roo conventions link wrong custom paths custom paths developer adjust path attribute field reference tag include picker styles supported dojo small medium input field criteria apply identifier manually assigned add required add document namespaces add form create element handle roo identifiers form fields presented identifier manually assigned creation add document namespaces ignoring util map field types roo scaffolding maps roo add document namespaces create list element add document namespaces add field display elements field ignoring util map field types roo add document namespaces add form update element filter embedded fields represent composite updated form fields presented roo needed adhere javabean bean naming conventions javabean bean spec
VARSIG19	term
VARSIG1	webscaffoldannotationvalues web scaffold annotation values webscaffoldannotationvalues web scaffold annotation values
VARSIG18	fieldmetadata field metadata field
VARSIG0	list fieldmetadata field metadata fields
VARSIG17	fieldmetadata field metadata embeddedfield embedded field
MTHSIG4	getfinderdocument finder document findermetadatadetails finder metadata details findermetadatadetails finder metadata details
VARSIG12	fieldmetadata field metadata field
MTHSIG5	getjavatypeforfield type field fieldmetadata field metadata field
VARSIG11	findermetadatadetails finder metadata details findermetadatadetails finder metadata details
MTHSIG6	getlistdocument list document
VARSIG10	fieldmetadata field metadata embeddedfield embedded field
MTHSIG7	getpathfortype path type javatype type type
MTHSIG0	jspviewmanager jsp view manager list fieldmetadata field metadata fields webscaffoldannotationvalues web scaffold annotation values webscaffoldannotationvalues web scaffold annotation values map javatype type javatypemetadatadetails type metadata details relateddomaintypes domain types
VARSIG16	fieldmetadata field metadata field
MTHSIG1	addcommonattributes add common attributes fieldmetadata field metadata field element fieldelement field element
VARSIG15	javatype type type
PACKAGE	springframework roo addon web mvc jsp
MTHSIG2	createfieldsforcreateandupdate create fields create update list fieldmetadata field metadata formfields form fields document document element root iscreate create
VARSIG14	fieldmetadata field metadata field
MTHSIG3	getcreatedocument create document
VARSIG13	fieldmetadata field metadata field
MTHSIG8	getshowdocument document
MTHSIG9	getupdatedocument update document
MTHSIG11	uncapitalize term
CLASSES	jspviewmanager jsp view manager
METHODS	jspviewmanager jsp view manager addcommonattributes add common attributes createfieldsforcreateandupdate create fields create update getcreatedocument create document getfinderdocument finder document getjavatypeforfield type field getlistdocument list document getpathfortype path type getshowdocument document getupdatedocument update document isemailfield email field uncapitalize
MTHSIG10	isemailfield email field fieldmetadata field metadata field
VARIABLES	fields webscaffoldannotationvalues web scaffold annotation values relateddomaintypes domain types field fieldelement field element formfields form fields document root iscreate create field embeddedfield embedded field findermetadatadetails finder metadata details field field field type field embeddedfield embedded field field term created controllerpath controller path entityname entity fields formbackingtype form backing type formbackingtypemetadata form backing type metadata formbackingtypepersistencemetadata form backing type persistence metadata relateddomaintypes domain types webscaffoldannotationvalues web scaffold annotation values annotationmetadata annotation metadata min maxa max decimalmin decimal min decimalmax decimal max regexp max min tagname tag values fieldname field fieldtype field type annotationmetadata annotation metadata typemetadataholder type metadata holder typepersistencemetadataholder type persistence metadata holder fieldelement field element referencetype reference type referencetypemetadata reference type metadata max maxvalue max builder document div formcreate form create formfields form fields fieldcopy field copy identifierfieldname identifier field fieldbuilder field builder dependency builder document div formfind form find type paramname fieldname field fieldelement field element typemetadataholder type metadata holder collectiontypemetadataholder collection type metadata holder typepersistencemetadataholder type persistence metadata holder typepersistencemetadataholder type persistence metadata holder parameters builder document div fieldtable field table fieldcounter field counter columnelement column element fieldname field pagelist list javatypemetadataholder type metadata holder builder document div pageshow fieldname field fielddisplay field display builder document div formupdate form update versionaccessormethod version accessor methodname fieldcopy field copy
