VARSIG7	annotationmetadata annotation metadata fieldannotation field annotation
VARSIG6	fieldmetadata field metadata field
VARSIG9	fieldmetadata field metadata field
VARSIG8	annotationmetadata annotation metadata matchingannotation matching annotation
VARSIG3	collection annotationmetadata annotation metadata annotations
VARSIG2	customdatakey custom data key fieldmetadata field metadata customdatakey custom data key
VARSIG5	javasymbolname symbol attributename attribute
VARSIG4	fieldmetadata field metadata field
COMMENTS	link matcher link fieldmetadata field metadata matches presence list annotations constructor matching annotations customdatakey custom data key custom data key indicating type field required annotations annotations match constructor matching annotations customdatakey custom data key custom data key indicating type field required annotations annotations match returns annotation field matches matcher matcher target annotations field field annotations checked required
VARSIG1	annotationmetadata annotation metadata annotations
VARSIG0	customdatakey custom data key fieldmetadata field metadata customdatakey custom data key
MTHSIG4	getmatchingannotation matching annotation fieldmetadata field metadata field
VARSIG12	fieldmetadata field metadata field
MTHSIG5	gettagvalue tag fieldmetadata field metadata field
VARSIG11	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG6	matches list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG10	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG0	fieldmatcher field matcher customdatakey custom data key fieldmetadata field metadata customdatakey custom data key annotationmetadata annotation metadata annotations
MTHSIG1	fieldmatcher field matcher customdatakey custom data key fieldmetadata field metadata customdatakey custom data key collection annotationmetadata annotation metadata annotations
PACKAGE	springframework roo classpath customdata taggers
MTHSIG2	getattributemap attribute map fieldmetadata field metadata field
MTHSIG3	getcustomdatakey custom data key
CLASSES	fieldmatcher field matcher
METHODS	fieldmatcher field matcher fieldmatcher field matcher getattributemap attribute map getcustomdatakey custom data key getmatchingannotation matching annotation gettagvalue tag matches
VARIABLES	customdatakey custom data key annotations customdatakey custom data key annotations field attributename attribute field fieldannotation field annotation matchingannotation matching annotation field memberholdingtypedetailslist member holding type details list memberholdingtypedetails member holding type details field jpa column jpa embedded jpa embedded jpa enumerated jpa jpa lob jpa jpa jpa jpa jpa jpa version annotations customdatakey custom data key map annotationmetadata annotation metadata fields
