MTHSIG28	getmodulenames module names
MTHSIG29	getpathresolver path resolver
MTHSIG26	getfocusedtoplevelpackage focused top level
MTHSIG27	getmoduleforfileidentifier module file identifier fileidentifier file identifier
MTHSIG24	getfocusedprojectmetadata focused project metadata
MTHSIG25	getfocusedprojectname focused project
MTHSIG22	getfocusedmodule focused module
MTHSIG23	getfocusedmodulename focused module
MTHSIG4	adddependencies add dependencies modulename module collection dependency newdependencies dependencies
VARSIG78	modulename module
MTHSIG5	adddependency add dependency modulename module dependency dependency
VARSIG77	modulename module
MTHSIG6	adddependency add dependency modulename module groupid group artifactid artifact version
VARSIG76	featurename feature
MTHSIG7	adddependency add dependency modulename module groupid group artifactid artifact version dependencyscope dependency scope scope
VARSIG75	featurenames feature names
MTHSIG0	getdescriptionofchange description change action collection items singular plural
MTHSIG1	highlight text
MTHSIG2	addbuildplugin add build plugin modulename module plugin plugin
MTHSIG3	addbuildplugins add build plugins modulename module collection plugin newplugins plugins
VARSIG79	plugin plugin
MTHSIG20	buildpluginupdate build plugin update modulename module plugin plugin
VARSIG70	modulename module
MTHSIG21	detectcirculardependency detect circular dependency pom module module pom module module
MTHSIG8	adddependency add dependency modulename module groupid group artifactid artifact version dependencyscope dependency scope scope classifier
VARSIG74	modulename module
MTHSIG9	addfilter add filter modulename module filter filter
VARSIG73	featurename feature
VARSIG72	modulename module
VARSIG71	featurename feature
MTHSIG39	isfeatureinstalledinfocusedmodule feature installed focused module featurenames feature names
MTHSIG37	isfeatureinstalled feature installed featurename feature
MTHSIG38	isfeatureinstalledinmodule feature installed module featurename feature modulename module
MTHSIG35	getprojectname project modulename module
MTHSIG36	gettoplevelpackage top level modulename module
MTHSIG33	getpompluginsupdatemessage pom plugins update message collection addedplugins plugins collection removedplugins removed plugins
MTHSIG34	getprojectmetadata project metadata modulename module
