VARSIG7	fieldmetadatabuilder field metadata builder existingfield existing field
VARSIG6	customdata custom data customdata custom data
VARSIG9	methodmetadata metadata replacement
VARSIG8	object key
VARSIG3	constructormetadatabuilder constructor metadata builder existingconstructor existing constructor
VARSIG2	customdata custom data customdata custom data
VARSIG5	fieldmetadata field metadata replacement
VARSIG4	object key
COMMENTS	builder link memberdetails member details mids don match proposed can replacement mids don match proposed can replacement mids don match proposed can replacement push members modified push members
VARSIG19	constructormetadata constructor metadata constructor
VARSIG1	constructormetadata constructor metadata replacement
VARSIG18	typedetailsbuilder type details builder typedetailsbuilder type details builder
VARSIG0	memberholdingtypedetails member holding type details existing
VARSIG17	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG4	domodification modification fieldmetadata field metadata field customdata custom data customdata custom data
VARSIG12	object key
MTHSIG5	domodification modification memberholdingtypedetails member holding type details type customdata custom data customdata custom data
VARSIG11	methodmetadatabuilder metadata builder existingmethod existing
MTHSIG6	domodification modification methodmetadata metadata customdata custom data customdata custom data
VARSIG10	customdata custom data customdata custom data
MTHSIG7	gettypedetailsbuilder type details builder memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG0	memberdetailsbuilder member details builder collection memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG16	memberdetails member details memberdetails member details
MTHSIG1	memberdetailsbuilder member details builder memberdetails member details memberdetails member details
VARSIG15	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
PACKAGE	springframework roo classpath scanner
MTHSIG2	build
VARSIG14	collection memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG3	domodification modification constructormetadata constructor metadata constructor customdata custom data customdata custom data
VARSIG13	collection importmetadata metadata imports
MTHSIG8	tag tomodify modify customdatakey custom data key key object
VARSIG30	object
CLASSES	memberdetailsbuilder member details builder
VARSIG29	customdatakey custom data key key
VARSIG28	tomodify modify
METHODS	memberdetailsbuilder member details builder memberdetailsbuilder member details builder build domodification modification domodification modification domodification modification domodification modification gettypedetailsbuilder type details builder tag
VARSIG23	memberholdingtypedetails member holding type details type
VARSIG22	customdata custom data customdata custom data
VARSIG21	fieldmetadata field metadata field
VARSIG20	customdata custom data customdata custom data
VARSIG27	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG26	customdata custom data customdata custom data
VARSIG25	methodmetadata metadata
VARSIG24	customdata custom data customdata custom data
VARIABLES	existing replacement customdata custom data existingconstructor existing constructor key replacement customdata custom data existingfield existing field key replacement customdata custom data existingmethod existing key imports memberholdingtypedetailslist member holding type details list memberholdingtypedetails member holding type details memberdetails member details memberholdingtypedetails member holding type details typedetailsbuilder type details builder constructor customdata custom data field customdata custom data type customdata custom data customdata custom data memberholdingtypedetails member holding type details tomodify modify key existing itdbuilder builder cidbuilder cid builder changed memberholdingtypedetailsmap member holding type details map originalmemberdetails original member details typedetailsbuildermap type details builder map memberholdingtypedetails member holding type details matchedconstructor matched constructor typedetailsbuilder type details builder memberholdingtypedetails member holding type details matchedfield matched field typedetailsbuilder type details builder memberholdingtypedetails member holding type details typedetailsbuilder type details builder memberholdingtypedetails member holding type details matchedmethod matched typedetailsbuilder type details builder typedetailsbuilder type details builder customdatabuilder custom data builder customdatabuilder custom data builder customdatabuilder custom data builder customdatabuilder custom data builder
