MTHSIG4	getcustomdatakey custom data key
VARSIG34	map pluralmap plural map
MTHSIG5	getfieldsinterestedin fields interested list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG33	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG6	getmostconcreteclassorinterfacetypedetails concrete type details list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG32	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG7	getprefix prefix
VARSIG31	annotationmetadata annotation metadata annotationmetadata annotation metadata
MTHSIG0	methodmatcher matcher collection fieldmatcher field matcher fieldtaggers field taggers customdatakey custom data key methodmetadata metadata customdatakey custom data key isaccessor accessor
MTHSIG1	methodmatcher matcher customdatakey custom data key methodmetadata metadata customdatakey custom data key javatype type catalystannotationtype catalyst annotation type javasymbolname symbol userdefinednameattribute user defined attribute defaultname
VARSIG37	methodmetadata metadata
PACKAGE	springframework roo classpath customdata taggers
MTHSIG2	methodmatcher matcher customdatakey custom data key methodmetadata metadata customdatakey custom data key javatype type catalystannotationtype catalyst annotation type javasymbolname symbol userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular
VARSIG36	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
MTHSIG3	methodmatcher matcher customdatakey custom data key methodmetadata metadata customdatakey custom data key javatype type catalystannotationtype catalyst annotation type javasymbolname symbol userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular additionalsuffix additional suffix
VARSIG35	fieldmetadata field metadata field
MTHSIG8	getsuffix suffix list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list singular map pluralmap plural map
VARSIG30	map pluralmap plural map
MTHSIG9	gettagvalue tag methodmetadata metadata key
CLASSES	methodmatcher matcher
VARSIG29	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG28	methodmetadata metadata key
METHODS	methodmatcher matcher methodmatcher matcher methodmatcher matcher methodmatcher matcher getcustomdatakey custom data key getfieldsinterestedin fields interested getmostconcreteclassorinterfacetypedetails concrete type details getprefix prefix getsuffix suffix gettagvalue tag getuserdefinedmethod user defined matches matches
VARSIG23	memberholdingtypedetails member holding type details memberholdingtypedetails member holding type details
VARSIG22	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG21	fieldmatcher field matcher fieldtagger field tagger
VARSIG20	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG27	annotationmetadata annotation metadata annotationmetadata annotation metadata
VARSIG26	map pluralmap plural map
VARSIG25	singular
VARSIG24	list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
VARSIG7	customdatakey custom data key methodmetadata metadata customdatakey custom data key
VARSIG6	defaultname
VARSIG9	javasymbolname symbol userdefinednameattribute user defined attribute
VARSIG8	javatype type catalystannotationtype catalyst annotation type
VARSIG3	customdatakey custom data key methodmetadata metadata customdatakey custom data key
VARSIG2	isaccessor accessor
VARSIG5	javasymbolname symbol userdefinednameattribute user defined attribute
VARSIG4	javatype type catalystannotationtype catalyst annotation type
COMMENTS	link methodmetadata metadata specific implementation link matcher matches based field dynamically determined based link fieldmatcher field matcher presented type accessor mutator user roo annotation plural singular suffix referenced entity additional suffix constructor fieldtaggers field taggers customdatakey custom data key isaccessor accessor constructor customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname constructor customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular constructor customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular additionalsuffix additional suffix classorinterfacetypedetails type details concrete dictated logic memberdetailsscannerimpl member details scanner impl todo dealt
VARSIG19	additionalsuffix additional suffix
VARSIG1	customdatakey custom data key methodmetadata metadata customdatakey custom data key
VARSIG18	suffixsingular suffix singular
VARSIG0	collection fieldmatcher field matcher fieldtaggers field taggers
VARSIG17	suffixplural suffix plural
VARSIG12	suffixsingular suffix singular
VARSIG11	suffixplural suffix plural
VARSIG10	defaultname
VARSIG16	defaultname
VARSIG15	javasymbolname symbol userdefinednameattribute user defined attribute
VARSIG14	javatype type catalystannotationtype catalyst annotation type
VARSIG13	customdatakey custom data key methodmetadata metadata customdatakey custom data key
MTHSIG11	matches list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list
MTHSIG12	matches list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list map pluralmap plural map
MTHSIG10	getuserdefinedmethod user defined list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list map pluralmap plural map
VARIABLES	fieldtaggers field taggers customdatakey custom data key isaccessor accessor customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular customdatakey custom data key catalystannotationtype catalyst annotation type userdefinednameattribute user defined attribute defaultname suffixplural suffix plural suffixsingular suffix singular additionalsuffix additional suffix memberholdingtypedetailslist member holding type details list fieldtagger field tagger memberholdingtypedetailslist member holding type details list memberholdingtypedetails member holding type details memberholdingtypedetailslist member holding type details list singular pluralmap plural map annotationmetadata annotation metadata key memberholdingtypedetailslist member holding type details list pluralmap plural map annotationmetadata annotation metadata memberholdingtypedetailslist member holding type details list memberholdingtypedetailslist member holding type details list pluralmap plural map field memberholdingtypedetails member holding type details additionalsuffix additional suffix catalystannotationtype catalyst annotation type customdatakey custom data key defaultname fieldtaggers field taggers isaccessor accessor suffixplural suffix plural suffixsingular suffix singular userdefinednameattribute user defined attribute fields cid cid plural annotationattributevalue annotation attribute suffix cid annotationattributevalue annotation attribute fields methods methodnames names userdefinedmethodname user defined
