VARSIG7	map javatype type list methodmetadata metadata tostringmethods methods
VARSIG6	map javatype type map object javasymbolname symbol compositeprimarykeytypes composite primary key types
VARSIG9	entry javatype type map object javasymbolname symbol entry
VARSIG8	javatype type formbackingobject form backing object
VARSIG3	map javatype type membertypeadditions member type additions findmethods find methods
VARSIG2	physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata
VARSIG5	set javatype type relevantdomaintypes relevant domain types
VARSIG4	map javatype type javatype type idtypes types
COMMENTS	represents metadata application wide conversion service generates methods afterpropertiesset properties set overrides initializingbean initializing bean lifecycle parent installlabelconverters install label converters formatterregistry formatter registry registry registers converter methods converter scaffolded domain types associations production constructor identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata findmethods find methods idtypes types types domain types generate converters required domain type relevantdomaintypes relevant domain types types generate converters required compositeprimarykeytypes composite primary key types required conversion type returns type converter generated targettype target type type converted required methodname generate required idtype type type target type required generated
VARSIG19	list methodmetadata metadata tostringmethods methods
VARSIG1	javatype type aspectname aspect
VARSIG18	javasymbolname symbol methodname
VARSIG0	identifier
VARSIG17	javatype type targettype target type
MTHSIG4	getstringtotypeconvertermethod type converter javatype type targettype target type javasymbolname symbol methodname javatype type idtype type
VARSIG12	javatype type targettype target type
MTHSIG5	gettojsonconvertermethod json converter javatype type targettype target type javasymbolname symbol jsonmethodname json
VARSIG11	javasymbolname symbol jsonmethodname json
MTHSIG6	gettostringconvertermethod converter javatype type targettype target type javasymbolname symbol methodname list methodmetadata metadata tostringmethods methods
VARSIG10	javatype type targettype target type
MTHSIG7	gettypetostringline type javatype type targettype target type targettypename target type list methodmetadata metadata tostringmethods methods
MTHSIG0	conversionservicemetadata conversion service metadata identifier javatype type aspectname aspect physicaltypemetadata physical type metadata governorphysicaltypemetadata governor physical type metadata map javatype type membertypeadditions member type additions findmethods find methods map javatype type javatype type idtypes types set javatype type relevantdomaintypes relevant domain types map javatype type map object javasymbolname symbol compositeprimarykeytypes composite primary key types map javatype type list methodmetadata metadata tostringmethods methods
VARSIG16	javasymbolname symbol jsonmethodname json
MTHSIG1	getafterpropertiessetmethod properties set
VARSIG15	javatype type targettype target type
PACKAGE	springframework roo addon web mvc controller converter
MTHSIG2	getinstalllabelconvertersmethod install label converters
VARSIG14	javatype type idtype type
MTHSIG3	getjsontoconvertermethod json converter javatype type targettype target type javasymbolname symbol jsonmethodname json
VARSIG13	javasymbolname symbol methodname
MTHSIG8	gettotypeconvertermethod type converter javatype type targettype target type javasymbolname symbol methodname membertypeadditions member type additions findmethod find javatype type idtype type
CLASSES	conversionservicemetadata conversion service metadata
METHODS	conversionservicemetadata conversion service metadata getafterpropertiessetmethod properties set getinstalllabelconvertersmethod install label converters getjsontoconvertermethod json converter getstringtotypeconvertermethod type converter gettojsonconvertermethod json converter gettostringconvertermethod converter gettypetostringline type gettotypeconvertermethod type converter
VARSIG23	javatype type targettype target type
VARSIG22	list methodmetadata metadata tostringmethods methods
VARSIG21	targettypename target type
VARSIG20	javatype type targettype target type
VARSIG26	javatype type idtype type
VARSIG25	membertypeadditions member type additions findmethod find
VARSIG24	javasymbolname symbol methodname
VARIABLES	identifier aspectname aspect governorphysicaltypemetadata governor physical type metadata findmethods find methods idtypes types relevantdomaintypes relevant domain types compositeprimarykeytypes composite primary key types tostringmethods methods formbackingobject form backing object entry targettype target type jsonmethodname json targettype target type methodname idtype type targettype target type jsonmethodname json targettype target type methodname tostringmethods methods targettype target type targettypename target type tostringmethods methods targettype target type methodname findmethod find idtype type base converter install label converters compositeprimarykeytypes composite primary key types findmethods find methods idtypes types relevantdomaintypes relevant domain types tostringmethods methods methodname bodybuilder body builder sortedrelevantdomaintypes sorted relevant domain types bodybuilder body builder methodnames names simplename simple toidmethodname totypemethodname type totypeconvertermethod type converter stringtotypemethodname type targettype target type jsonmethodnames json names jsontoconvertermethod json converter tojsonconvertermethod json converter parametertype parameter type parameternames parameter names methodname converterjavatype converter type base name base typename type bodybuilder body builder converterjavatype converter type idtypename type bodybuilder body builder methodname converterjavatype converter type base name base targettypename target type bodybuilder body builder converterjavatype converter type targettypename target type bodybuilder body builder totypeconvertermethod type converter converterjavatype converter type bodybuilder body builder
