VARSIG7	optioncontext option context 
VARSIG6	requiredtyp requir type 
VARSIG9	requiredtyp requir type 
VARSIG8	list complet 
VARSIG3	 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	optioncontext option context 
VARSIG4	requiredtyp requir type 
COMMENTS	convers link javatyp type full support denot user user top level user provid type dot rel current directori automat capit letter segment capit type add common type complet provid static lang lang numer misc util util drop lead includ directori start purpos svn roo file drop convert path user type 
VARSIG19	filedetail file detail fileidentifi file identifi 
VARSIG1	metadataservic metadata servic metadataservic metadata servic 
VARSIG18	existingdata exist data 
VARSIG0	lastus lastus 
VARSIG17	list complet 
MTHSIG4	completejavaspecificpath complet specif path list complet existingdata exist data optioncontext option context 
VARSIG12	methodtarget target target 
MTHSIG5	completeprojectspecificpath complet project specif path list complet existingdata exist data 
VARSIG11	optioncontext option context 
VARSIG10	existingdata exist data 
MTHSIG0	javatypeconvert type convert lastus lastus metadataservic metadata servic metadataservic metadata servic filemanag file manag filemanag file manag 
VARSIG16	type 
MTHSIG1	convertfromtext convert text requiredtyp requir type optioncontext option context 
VARSIG15	optioncontext option context 
PACKAGE	springframework roo classpath convert 
MTHSIG2	support requiredtyp requir type optioncontext option context 
VARSIG14	existingdata exist data 
MTHSIG3	getallpossiblevalu valu list complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
VARSIG13	list complet 
CLASSES	javatypeconvert type convert 
METHODS	javatypeconvert type convert convertfromtext convert text support getallpossiblevalu valu completejavaspecificpath complet specif path completeprojectspecificpath complet project specif path 
VARIABLES	lastus metadataservic metadata servic filemanag file manag requiredtyp requir type optioncontext option context requiredtyp requir type optioncontext option context complet requiredtyp requir type existingdata exist data optioncontext option context target complet existingdata exist data optioncontext option context type complet existingdata exist data fileidentifi file identifi lastus metadataservic metadata servic filemanag file manag result toplevelpath top level path projectmetadata project metadata toplevelpackag top level newvalu typenam type result type toplevelpath top level path projectmetadata project metadata newvalu pathresolv path resolv antpath ant path entri candid includ directori 
