VARSIG7	link 
VARSIG6	messagecod messag code 
VARSIG9	menucategoryid menu categori 
VARSIG8	except 
VARSIG3	javasymbolnam symbol menucategorylabel menu categori label 
VARSIG2	menucategoryid menu categori 
VARSIG5	javasymbolnam symbol menuitemlabel menu item label 
VARSIG4	menuitemid menu item 
COMMENTS	gener jsp menu manag menu item addit menu categori menu item categori menu item identifi exist overwritten replac addon determin categori menu item identifi clash addon recommend categori identifi name convent addon intent categori intent repres identifi diffenti categori addon recommend menu item identifi name convent addon intent menu item menucategoryid menu categori identifi menu categori requir menucategorylabel menu categori label categori label requir menuitemid menu item menu item identifi requir menuitemlabel menu item label menu item label requir link menu item link requir root element menu menu identifi allow decor menu check exist menu categori indentifi exist creat check exist menu item indentifi exist creat check plural entiti chang impact access spring messag element check code find menu item categori start menuitemidprefix menu item prefix find menu item categori exist menu file exist logic earlier copi templat disk chang updat creat build represent jsp mutablefil mutabl file write content jspcontent jsp content file verifi file chang write file file exist file content wrote file file exist contain content properti throw except file exist propertyfilepath properti file path locat properti file requir propertyfilenam properti filenam properti file path requir kei properti kei updat requir properti set properti kei requir overrid order alphabet retriev properti return properti file exist propertyfilepath properti file path locat properti file requir propertyfilenam properti filenam properti file path requir kei properti kei retriev requir properti properti file request properti exist 
VARSIG19	nodelist node list towrit write 
VARSIG1	pathresolv path resolv pathresolv path resolv 
VARSIG18	ioexcept except ioe 
VARSIG0	filemanag file manag filemanag file manag 
VARSIG17	except 
MTHSIG4	getmenufil menu file 
VARSIG12	except 
MTHSIG5	writetodiskifnecessari write disk nodelist node list towrit write 
VARSIG11	list allowedmenuid allow menu id 
MTHSIG6	setproperti set properti path propertyfilepath properti file path propertyfilenam properti filenam kei 
VARSIG10	menuitemidprefix menu item prefix 
MTHSIG7	getproperti properti path propertyfilepath properti file path propertyfilenam properti filenam kei 
VARSIG31	ioexcept except ioe 
MTHSIG0	menuoper menu oper filemanag file manag filemanag file manag pathresolv path resolv pathresolv path resolv 
VARSIG16	except 
MTHSIG1	addmenuitem add menu item menucategoryid menu categori javasymbolnam symbol menucategorylabel menu categori label menuitemid menu item javasymbolnam symbol menuitemlabel menu item label messagecod messag code link 
VARSIG15	menuitemid menu item 
PACKAGE	springframework roo addon web menu 
MTHSIG2	cleanupmenuitem clean menu item menucategoryid menu categori menuitemidprefix menu item prefix list allowedmenuid allow menu id 
VARSIG14	menucategoryid menu categori 
MTHSIG3	cleanupmenuitem clean menu item menucategoryid menu categori menuitemid menu item 
VARSIG13	element element 
VARSIG30	kei 
CLASSES	menuoper menu oper 
VARSIG29	propertyfilenam properti filenam 
VARSIG28	path propertyfilepath properti file path 
METHODS	menuoper menu oper addmenuitem add menu item cleanupmenuitem clean menu item cleanupmenuitem clean menu item getmenufil menu file writetodiskifnecessari write disk setproperti set properti getproperti properti 
VARSIG23	propertyfilenam properti filenam 
VARSIG22	path propertyfilepath properti file path 
VARSIG21	ioexcept except ioe 
VARSIG20	ioexcept except ignoreandjustoverwriteit ignor overwrit 
VARSIG27	ioexcept except ioe 
VARSIG26	ioexcept except ioe 
VARSIG25	 
VARSIG24	kei 
VARIABLES	filemanag file manag pathresolv path resolv menucategoryid menu categori menucategorylabel menu categori label menuitemid menu item menuitemlabel menu item label messagecod messag code link menucategoryid menu categori menuitemidprefix menu item prefix allowedmenuid allow menu id element menucategoryid menu categori menuitemid menu item ioe towrit write ignoreandjustoverwriteit ignor overwrit ioe propertyfilepath properti file path propertyfilenam properti filenam kei ioe ioe propertyfilepath properti file path propertyfilenam properti filenam kei ioe filemanag file manag pathresolv path resolv menufil menu file document rootel root element categorywrapp categori wrapper categoryroot categori root messageresourceid messag resourc categorylabel categori label menuitem menu item menuitemresourceid menu item resourc url createlink creat link messag entitylabel entiti label messag document element document element existingmenu exist menu bytearrayoutputstream arrai output stream jspcontent jsp content mutablefil mutabl file exist filepath file path mutablefil mutabl file prop filepath file path mutablefil mutabl file prop 
