VARSIG7	sortbyaccessornam sort accessor 
VARSIG6	memberholdingtypedetail member hold type detail holder 
VARSIG9	methodmetadata metadata 
VARSIG8	memberholdingtypedetail member hold type detail holder 
VARSIG3	list memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG2	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG5	javasymbolnam symbol propertynam properti 
VARSIG4	methodmetadata metadata methodmetadata metadata 
COMMENTS	metadata link roobeaninfo roo bean info repres common bean accessor mutat metadata introspect link itdproviderrol provid role accessor mutat provid provid reli detail metadata permit provid regist addit trigger provid creat represent desir output obtain properti javabean bean accessor mutat determin discard letter depend set special search actual field methodmetadata metadata search requir set properti return attempt locat field repres present properti javabean bean getter setter back field ident case return propertynam properti properti requir field couldn find properti exact scan lowercas charact roo accessor method defin superclass sort alphabet empti sortbyaccessornam sort accessor sort return accessor getter accessor method defin superclass empti treemap tree map method output alphabet order kei base methodmetadata metadata paramet mutat method defin superclass sort alphabet empti treemap tree map method output alphabet order kei base methodmetadata metadata singl paramet set type metadata repres return 
VARSIG1	javatyp type aspectnam aspect 
VARSIG0	identifi 
MTHSIG4	getpublicaccessor accessor sortbyaccessornam sort accessor 
VARSIG12	javatyp type javatyp type 
MTHSIG5	getpublicmut mutat 
VARSIG11	methodmetadata metadata 
MTHSIG6	getjavabean bean 
VARSIG10	memberholdingtypedetail member hold type detail holder 
MTHSIG7	tostr 
MTHSIG0	beaninfometadata bean info metadata identifi javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata list memberholdingtypedetail member hold type detail memberholdingtypedetail member hold type detail 
VARSIG16	metadataidentificationstr metadata identif 
MTHSIG1	getpropertynameforjavabeanmethod properti bean methodmetadata metadata methodmetadata metadata 
VARSIG15	metadataidentificationstr metadata identif 
PACKAGE	springframework roo addon beaninfo 
MTHSIG2	getfieldforpropertynam field properti javasymbolnam symbol propertynam properti 
VARSIG14	metadataidentificationstr metadata identif 
MTHSIG3	getpublicaccessor accessor 
VARSIG13	path path 
MTHSIG8	getmetadataidentifertyp metadata identif type 
MTHSIG9	createidentifi creat identifi javatyp type javatyp type path path 
MTHSIG11	getpath path metadataidentificationstr metadata identif 
MTHSIG12	isvalid valid metadataidentificationstr metadata identif 
CLASSES	beaninfometadata bean info metadata 
METHODS	beaninfometadata bean info metadata getpropertynameforjavabeanmethod properti bean getfieldforpropertynam field properti getpublicaccessor accessor getpublicaccessor accessor getpublicmut mutat getjavabean bean tostr getmetadataidentifertyp metadata identif type createidentifi creat identifi getjavatyp type getpath path isvalid valid 
MTHSIG10	getjavatyp type metadataidentificationstr metadata identif 
VARIABLES	identifi aspectnam aspect governorphysicaltypemetadata governor physic type metadata memberholdingtypedetail member hold type detail methodmetadata metadata propertynam properti holder sortbyaccessornam sort accessor holder holder javatyp type path metadataidentificationstr metadata identif metadataidentificationstr metadata identif metadataidentificationstr metadata identif type type memberholdingtypedetail member hold type detail result map sortedbydetectionord sort detect order accessornam accessor map mutatornam mutat tsc 
