VARSIG7	requiredtyp requir type 
VARSIG6	runtimeexcept runtim except 
VARSIG9	list complet 
VARSIG8	optioncontext option context 
VARSIG3	 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	optioncontext option context 
VARSIG4	requiredtyp requir type 
COMMENTS	convers link javapackag full support denot user user top level drop lead includ directori start purpos svn roo convert path user type 
CLASSES	javapackageconvert convert 
VARSIG1	metadataservic metadata servic metadataservic metadata servic 
VARSIG0	lastus lastus 
METHODS	javapackageconvert convert convertfromtext convert text support getallpossiblevalu valu 
VARSIG12	optioncontext option context 
VARSIG11	existingdata exist data 
VARSIG10	requiredtyp requir type 
MTHSIG0	javapackageconvert convert lastus lastus metadataservic metadata servic metadataservic metadata servic filemanag file manag filemanag file manag 
MTHSIG1	convertfromtext convert text requiredtyp requir type optioncontext option context 
PACKAGE	springframework roo classpath convert 
MTHSIG2	support requiredtyp requir type optioncontext option context 
VARSIG14	filedetail file detail fileidentifi file identifi 
MTHSIG3	getallpossiblevalu valu list complet requiredtyp requir type existingdata exist data optioncontext option context methodtarget target target 
VARSIG13	methodtarget target target 
VARIABLES	lastus metadataservic metadata servic filemanag file manag requiredtyp requir type optioncontext option context requiredtyp requir type optioncontext option context complet requiredtyp requir type existingdata exist data optioncontext option context target fileidentifi file identifi lastus metadataservic metadata servic filemanag file manag newvalu toplevelpath top level path projectmetadata project metadata result toplevelpath top level path projectmetadata project metadata newvalu pathresolv path resolv antpath ant path entri candid includ 
