VARSIG7	classorinterfacetypedetail type detail currentclass current 
VARSIG6	itdfilenam filenam 
VARSIG9	metadataidentificationstr metadata identif 
VARSIG8	metadataprovid metadata provid provid 
VARSIG3	metadataidentificationstr metadata identif 
VARSIG2	filemanag file manag filemanag file manag 
VARSIG5	physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata 
VARSIG4	javatyp type aspectnam aspect 
COMMENTS	link beaninfometadata bean info metadata creat list metadata metadata accessor build list repres hierarchi element absolut superclass note top list add governor superclass add metadata repres accessor offer itd interest provid provid accessor determin kei provid type regist depend content bother governor superclass trickl governor find deal governor moment regist metadata ensur type detail includ accessor 
CLASSES	beaninfometadataprovid bean info metadata provid 
VARSIG1	metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri 
VARSIG0	metadataservic metadata servic metadataservic metadata servic 
METHODS	beaninfometadataprovid bean info metadata provid getmetadata metadata getitduniquenessfilenamesuffix uniqu filenam suffix getgovernorphysicaltypeidentifi governor physic type identifi createlocalidentifi creat local identifi getprovidestyp type 
MTHSIG4	createlocalidentifi creat local identifi javatyp type javatyp type path path 
MTHSIG5	getprovidestyp type 
VARSIG11	path path 
VARSIG10	javatyp type javatyp type 
MTHSIG0	beaninfometadataprovid bean info metadata provid metadataservic metadata servic metadataservic metadata servic metadatadependencyregistri metadata depend registri metadatadependencyregistri metadata depend registri filemanag file manag filemanag file manag 
MTHSIG1	getmetadata metadata metadataidentificationstr metadata identif javatyp type aspectnam aspect physicaltypemetadata physic type metadata governorphysicaltypemetadata governor physic type metadata itdfilenam filenam 
PACKAGE	springframework roo addon beaninfo 
MTHSIG2	getitduniquenessfilenamesuffix uniqu filenam suffix 
MTHSIG3	getgovernorphysicaltypeidentifi governor physic type identifi metadataidentificationstr metadata identif 
VARIABLES	metadataservic metadata servic metadatadependencyregistri metadata depend registri filemanag file manag metadataidentificationstr metadata identif aspectnam aspect governorphysicaltypemetadata governor physic type metadata itdfilenam filenam currentclass current provid metadataidentificationstr metadata identif javatyp type path memberholdingtypedetail member hold type detail cid cidhierarchi cid hierarchi kei metadataitem metadata item itdtypedetailsmd type detail javatyp type path physicaltypeidentifi physic type identifi 
