MTHSIG0	getphysicaltypedetail physic type detail 
MTHSIG1	getphysicallocationcanonicalpath physic locat canon path 
PACKAGE	springframework roo classpath 
MTHSIG2	getitdcanoncialpath canonci path itdmetadataprovid metadata provid metadataprovid metadata provid 
MTHSIG3	getitdjavatyp type itdmetadataprovid metadata provid metadataprovid metadata provid 
COMMENTS	repres metadata link physicaltypeidentifiernamingutil physic type identifi name util repres annot type note subclass support declar link classorinterfacetypedetail type detail support option annot enumer empti type link physicaltypemetadata physic type metadata pars sourc code pars bytecod pars bytecod jar note link physicaltypemetadata physic type metadata includ member explicitli declar relev sourc bytecod explicitli exclud member introduc inter type declar special bytecod modif techniqu itdmetadata metadata actual detail physic type pars unabl pars locat disk file resourc canon format obtain canonci file path emit physic type metadataprovid metadata provid link itdmetadataprovid metadata provid getitduniquenessfilenamesuffix uniqu filenam suffix queri full file path produc obtain link javatyp type repres physic type metadataprovid metadata provid link itdmetadataprovid metadata provid getitduniquenessfilenamesuffix uniqu filenam suffix queri link javatyp type applic 
CLASSES	physicaltypemetadata physic type metadata 
VARIABLES	metadataprovid metadata provid metadataprovid metadata provid 
VARSIG1	itdmetadataprovid metadata provid metadataprovid metadata provid 
VARSIG0	itdmetadataprovid metadata provid metadataprovid metadata provid 
METHODS	getphysicaltypedetail physic type detail getphysicallocationcanonicalpath physic locat canon path getitdcanoncialpath canonci path getitdjavatyp type 
