VARSIG3	ormprovid orm provid 
VARSIG2	object obj 
COMMENTS	orm provid jpa add 
CLASSES	ormprovid orm provid 
VARSIG1	adapt 
VARSIG0	provid 
METHODS	ormprovid orm provid getadapt adapt equal compareto compar tostr getkei kei 
MTHSIG4	tostr 
MTHSIG5	getkei kei 
MTHSIG0	ormprovid orm provid provid adapt 
MTHSIG1	getadapt adapt 
PACKAGE	springframework roo addon jpa 
MTHSIG2	equal object obj 
MTHSIG3	compareto compar ormprovid orm provid 
VARIABLES	provid adapt obj provid adapt hibern openjpa eclipselink result tsc 
