VARSIG7	throwabl 
VARSIG6	runtimeexcept runtim except 
VARSIG9	runtimeexcept runtim except 
VARSIG8	commandcallback command callback callback 
VARSIG3	throwabl 
VARSIG2	initialmonitoringrequest initi monitor request initialmonitoringrequest initi monitor request 
VARSIG5	commandcallback command callback callback 
VARSIG4	throwabl 
COMMENTS	implement link processmanag process manag pass minimum poll neg denot auto scale time poll complet poll quick saniti check call correct time don synchron lock shouldn regist initi monitor request determin thread run don sit wait call millisecond check thread lock processmanagerstatu process manag statu don poll failur background poll thread die acquir lock thread hold process manag statu request oper guarante scan repeat detect work clear undo histori wrong attempt undo todo review consult christian st clear activ process manag activeprocessmanag activ process manag clearactiveprocessmanag clear activ process manag manual poll timer kick poll neg minimum delai poll auto scale poll fast durat slide scale poll record complet time ensur don poll comput millisecond ensur correctli reflect minimumdelaybetweenpol minimum delai poll millisecond pass poll millisecond pass poll manual interv millisecond poll execut complet execut time 
VARSIG1	filemonitorservic file monitor servic filemonitorservic file monitor servic 
VARSIG0	undomanag undo manag undomanag undo manag 
MTHSIG4	logexcept log except throwabl 
VARSIG12	minimumdelaybetweenpol minimum delai poll 
MTHSIG5	dotransaction transaction commandcallback command callback callback 
VARSIG11	developmentmod develop mode 
MTHSIG6	 
VARSIG10	throwabl 
MTHSIG7	isdevelopmentmod develop mode 
MTHSIG0	defaultprocessmanag process manag undomanag undo manag undomanag undo manag filemonitorservic file monitor servic filemonitorservic file monitor servic initialmonitoringrequest initi monitor request initialmonitoringrequest initi monitor request 
MTHSIG1	completestartup complet startup 
PACKAGE	springframework roo process manag intern 
MTHSIG2	backgroundpol background poll 
MTHSIG3	execut commandcallback command callback callback 
MTHSIG8	setdevelopmentmod set develop mode developmentmod develop mode 
MTHSIG9	setminimumdelaybetweenpol set minimum delai poll minimumdelaybetweenpol minimum delai poll 
MTHSIG11	getlastpolldur poll durat 
CLASSES	defaultprocessmanag process manag 
METHODS	defaultprocessmanag process manag completestartup complet startup backgroundpol background poll execut logexcept log except dotransaction transaction isdevelopmentmod develop mode setdevelopmentmod set develop mode setminimumdelaybetweenpol set minimum delai poll getminimumdelaybetweenpol minimum delai poll getlastpolldur poll durat 
MTHSIG10	getminimumdelaybetweenpol minimum delai poll 
VARIABLES	undomanag undo manag filemonitorservic file monitor servic initialmonitoringrequest initi monitor request callback callback developmentmod develop mode minimumdelaybetweenpol minimum delai poll logger developmentmod develop mode undomanag undo manag filemonitorservic file monitor servic initialmonitoringrequest initi monitor request minimumdelaybetweenpol minimum delai poll lastpolltim poll time lastpolldur poll durat root messag trace result effectiveminimumdelaybetweenpol effect minimum delai poll start 
