VARSIG6	javatyp type type 
VARSIG3	javatyp type javatyp type 
VARSIG2	deepseri deep serial 
VARSIG5	deepseri deep serial 
VARSIG4	rootnam root 
COMMENTS	implement addon json oper field 
CLASSES	jsonoperationsimpl json oper impl 
VARSIG1	rootnam root 
VARSIG0	javatyp type javatyp type 
METHODS	isjsoninstallationposs json instal annotatetyp annot type annotatetyp annot type annotateal annot annotateal annot 
MTHSIG4	annotateal annot 
MTHSIG0	isjsoninstallationposs json instal 
MTHSIG1	annotatetyp annot type javatyp type javatyp type rootnam root deepseri deep serial 
PACKAGE	springframework roo addon json 
MTHSIG2	annotatetyp annot type javatyp type javatyp type rootnam root 
MTHSIG3	annotateal annot deepseri deep serial 
VARIABLES	javatyp type rootnam root deepseri deep serial javatyp type rootnam root deepseri deep serial type projectoper project oper typelocationservic type locat servic typemanagementservic type manag servic cid annotationbuild annot builder cidbuild cid builder 
