VARSIG7	password 
VARSIG6	usernam 
VARSIG9	port 
VARSIG8	 
VARSIG3	javatyp type classtyp type 
VARSIG2	javatyp type domaintyp domain type 
VARSIG5	testautomat test automat 
VARSIG4	javatyp type idtyp type 
COMMENTS	link mongooper mongo oper implement constant field type exist build type type exist 
VARSIG19	element dependencyel depend element 
VARSIG1	javatyp type interfacetyp type 
VARSIG18	modulenam modul 
VARSIG0	modulenam modul 
VARSIG17	ioexcept except 
MTHSIG4	setuprepositori setup repositori javatyp type interfacetyp type javatyp type domaintyp domain type 
VARSIG12	usernam 
MTHSIG5	createtyp creat type javatyp type classtyp type javatyp type idtyp type testautomat test automat 
VARSIG11	cloudfoundri cloud foundri 
MTHSIG6	setup usernam password port host cloudfoundri cloud foundri 
VARSIG10	host 
MTHSIG7	manageappctx manag app ctx usernam password cloudfoundri cloud foundri modulenam modul 
MTHSIG0	getnam 
VARSIG16	modulenam modul 
MTHSIG1	isinstalledinmodul instal modul modulenam modul 
VARSIG15	cloudfoundri cloud foundri 
PACKAGE	springframework roo addon layer repositori mongo 
MTHSIG2	ismongoinstallationposs mongo instal 
VARSIG14	 
MTHSIG3	isrepositoryinstallationposs repositori instal 
VARSIG13	password 
MTHSIG8	managedepend manag depend modulenam modul 
MTHSIG9	writeproperti write properti usernam password port host modulenam modul 
CLASSES	mongooperationsimpl mongo oper impl 
METHODS	getnam isinstalledinmodul instal modul ismongoinstallationposs mongo instal isrepositoryinstallationposs repositori instal setuprepositori setup repositori createtyp creat type setup manageappctx manag app ctx managedepend manag depend writeproperti write properti 
VARSIG23	 
VARSIG22	password 
VARSIG21	usernam 
VARSIG20	element repositoryel repositori element 
VARSIG26	modulenam modul 
VARSIG25	host 
VARSIG24	port 
VARIABLES	modulenam modul interfacetyp type domaintyp domain type classtyp type idtyp type testautomat test automat usernam password port host cloudfoundri cloud foundri usernam password cloudfoundri cloud foundri modulenam modul modulenam modul dependencyel depend element repositoryel repositori element usernam password port host modulenam modul mongo xml dataondemandoper data demand oper filemanag file manag integrationtestoper integr test oper pathresolv path resolv projectoper project oper propfileoper prop file oper typelocationservic type locat servic typemanagementservic type manag servic interfaceidentifi identifi interfaceannotationmetadata annot metadata interfacemdid cidbuild cid builder listtyp list type classidentifi identifi classmdid cidbuild cid builder attribut modulenam modul appctxid app ctx inputstream input stream mutablefil mutabl file input document root mongosetup mongo setup mongocloudsetup mongo cloud setup configur depend springdepend spring depend repositori repositoryel repositori element properti 
