VARSIG3	element dependencyel depend element 
VARSIG2	javatyp type domaintyp domain type 
VARSIG4	ioexcept except 
COMMENTS	link repositoryjpaoper repositori jpa oper implement field type exist build type care project configur 
CLASSES	repositoryjpaoperationsimpl repositori jpa oper impl 
VARSIG1	javatyp type interfacetyp type 
VARSIG0	modulenam modul 
METHODS	getnam isinstalledinmodul instal modul isrepositoryinstallationposs repositori instal setuprepositori setup repositori configureproject configur project 
MTHSIG4	configureproject configur project 
MTHSIG0	getnam 
MTHSIG1	isinstalledinmodul instal modul modulenam modul 
PACKAGE	springframework roo addon layer repositori jpa 
MTHSIG2	isrepositoryinstallationposs repositori instal 
MTHSIG3	setuprepositori setup repositori javatyp type interfacetyp type javatyp type domaintyp domain type 
VARIABLES	modulenam modul interfacetyp type domaintyp domain type dependencyel depend element filemanag file manag pathresolv path resolv projectoper project oper typemanagementservic type manag servic resourcespath resourc path interfaceidentifi identifi interfaceannotationmetadata annot metadata interfacemdid cidbuild cid builder configur depend springdepend spring depend appctxid app ctx templateinputstream templat input stream input mutablefil mutabl file 
