VARSIG7	throwabl throwabl 
VARSIG6	stacktraceel stack trace element ste 
VARSIG8	logentri log entri entri 
VARSIG3	logentri log entri entri 
VARSIG2	logentri log entri entri 
VARSIG5	throwabl throwabl 
VARSIG4	removedonotlogtag remov log tag 
COMMENTS	deleg osgi log messag jdk log infrastructur turn compat spring roo roo standard approach log messag appear consol conveni prioriti messag output flash messag high prioriti messag jdk logger constant field log felix stack trace develop mode discard log convert osgi level jdk logger level messag flash develop mode clear timeout reach log messag log jdk 
CLASSES	jdkdelegatingloglisten jdk deleg log listen 
VARSIG1	componentcontext compon context context 
VARSIG0	componentcontext compon context context 
METHODS	activ deactiv log lognow log cleanthrow clean throwabl containsdonotlogtag log tag buildmessag build messag 
MTHSIG4	cleanthrow clean throwabl throwabl throwabl 
MTHSIG5	containsdonotlogtag log tag throwabl throwabl 
MTHSIG6	buildmessag build messag logentri log entri entri 
MTHSIG0	activ componentcontext compon context context 
MTHSIG1	deactiv componentcontext compon context context 
PACKAGE	springframework roo felix 
MTHSIG2	log logentri log entri entri 
MTHSIG3	lognow log logentri log entri entri removedonotlogtag remov log tag 
VARIABLES	context context entri entri removedonotlogtag remov log tag throwabl ste throwabl entri logger log logreaderservic log reader servic latestlog latest log osgilevel osgi level jdklevel jdk level result 
