MTHSIG4	isnoargconstructor arg constructor 
MTHSIG0	identifierannotationvalu identifi annot valu memberholdingtypedetailsmetadataitem member hold type detail metadata item governor 
MTHSIG1	isdbmanag manag 
PACKAGE	springframework roo addon jpa identifi 
MTHSIG2	isgettersbydefault getter 
MTHSIG3	issettersbydefault setter 
COMMENTS	valu link rooidentifi roo identifi annot annot constructor read link rooidentifi roo identifi annot governor governor governor governor metadata requir identifi manag dbre gener getter field gener setter field gener argument constructor 
CLASSES	identifierannotationvalu identifi annot valu 
VARIABLES	governor dbmanag manag gettersbydefault getter settersbydefault setter noargconstructor arg constructor 
VARSIG0	memberholdingtypedetailsmetadataitem member hold type detail metadata item governor 
METHODS	identifierannotationvalu identifi annot valu isdbmanag manag isgettersbydefault getter issettersbydefault setter isnoargconstructor arg constructor 
