VARSIG7	categori 
VARSIG6	messag 
VARSIG9	 
VARSIG8	kei 
VARSIG3	messag 
VARSIG2	messag 
VARSIG5	revstr 
VARSIG4	maxhistori max histori 
COMMENTS	oper offer git addon check git setup command shell avail check git command shell depend presenc git repositori avail initi setup git repositori target project trigger commit git tree work git commmit messag messag commit messag trigger git reset hard noofcommitstoreset commit reset number commit reset head messag commit messag trigger revert commit messag commit messag git log maxhistori max histori trigger revert commit rev revstr messag trigger git push conveni access git config set config option categori git config categori kei config kei config check automat commit enabl success roo command automaticcommit automat commit 
VARSIG1	noofcommitstoreset commit reset 
VARSIG0	messag 
MTHSIG4	reset noofcommitstoreset commit reset messag 
MTHSIG5	revertlastcommit revert commit messag 
MTHSIG6	log maxhistori max histori 
MTHSIG7	revertcommit revert commit revstr messag 
MTHSIG0	isgitinstallationposs git instal 
MTHSIG1	isgitcommandavail git command 
PACKAGE	springframework roo addon git 
MTHSIG2	setup 
MTHSIG3	commitallchang commit messag 
MTHSIG8	push 
MTHSIG9	setconfig set config categori kei 
CLASSES	gitoper git oper 
METHODS	isgitinstallationposs git instal isgitcommandavail git command setup commitallchang commit reset revertlastcommit revert commit log revertcommit revert commit push setconfig set config isautomaticcommit automat commit 
MTHSIG10	isautomaticcommit automat commit 
VARIABLES	messag noofcommitstoreset commit reset messag messag maxhistori max histori revstr messag categori kei 
