VARSIG7	classorinterfacetypedetail type detail proxytyp proxi type 
VARSIG6	javapackag toplevelpackag top level 
VARSIG9	classorinterfacetypedetail type detail annotatedtyp annot type 
VARSIG8	classorinterfacetypedetail type detail requesttyp request type 
VARSIG3	gwttype gwt type mirrortyp mirror type 
VARSIG2	javapackag toplevelpackag top level 
VARSIG5	gwttype gwt type type 
VARSIG4	javatyp type governortyp governor type 
COMMENTS	util method gwt add return link receiv type gener type type generictyp type requir type constructor prevent instanti 
VARSIG19	valueifnul 
VARSIG1	javatyp type governortyp governor type 
VARSIG18	attributenam attribut 
VARSIG0	javatyp type generictyp type 
VARSIG17	javatyp type annotationtyp annot type 
MTHSIG4	lookuprequesttargettyp lookup request target type classorinterfacetypedetail type detail requesttyp request type 
VARSIG12	classorinterfacetypedetail type detail target 
MTHSIG5	lookuptargettyp lookup target type classorinterfacetypedetail type detail annotatedtyp annot type javatyp type classbasedannotationtyp base annot type javatyp type stringbasedannotationtyp base annot type 
VARSIG11	javatyp type stringbasedannotationtyp base annot type 
MTHSIG6	getannotationvalu annot valu classorinterfacetypedetail type detail target javatyp type annotationtyp annot type attributenam attribut 
VARSIG10	javatyp type classbasedannotationtyp base annot type 
MTHSIG7	getbooleanannotationvalu annot classorinterfacetypedetail type detail target javatyp type annotationtyp annot type attributenam attribut valueifnul 
MTHSIG0	getreceivertyp receiv type javatyp type generictyp type 
VARSIG16	classorinterfacetypedetail type detail target 
MTHSIG1	getmirrortypemap mirror type map javatyp type governortyp governor type javapackag toplevelpackag top level 
VARSIG15	stringattributevalu attribut 
PACKAGE	springframework roo addon gwt 
MTHSIG2	convertgovernortypenameintokeytypenam convert governor type kei type javatyp type governortyp governor type gwttype gwt type type javapackag toplevelpackag top level 
VARSIG14	attributenam attribut 
MTHSIG3	lookupproxytargettyp lookup proxi target type classorinterfacetypedetail type detail proxytyp proxi type 
VARSIG13	javatyp type annotationtyp annot type 
MTHSIG8	scaffoldproxi scaffold proxi classorinterfacetypedetail type detail proxi 
MTHSIG9	getfirstannot annot classorinterfacetypedetail type detail cid javatyp type annotationtyp annot type 
MTHSIG11	convertprimitivetyp convert primit type javatyp type type convertvoid convert 
MTHSIG12	gwtutil gwt util 
CLASSES	gwtutil gwt util 
METHODS	getreceivertyp receiv type getmirrortypemap mirror type map convertgovernortypenameintokeytypenam convert governor type kei type lookupproxytargettyp lookup proxi target type lookuprequesttargettyp lookup request target type lookuptargettyp lookup target type getannotationvalu annot valu getbooleanannotationvalu annot scaffoldproxi scaffold proxi getfirstannot annot getstringvalu convertprimitivetyp convert primit type gwtutil gwt util 
VARSIG23	javatyp type annotationtyp annot type 
VARSIG22	javatyp type annotationtyp annot type 
VARSIG21	classorinterfacetypedetail type detail cid 
VARSIG20	classorinterfacetypedetail type detail proxi 
VARSIG26	convertvoid convert 
VARSIG25	javatyp type type 
VARSIG24	annotationattributevalu annot attribut attributevalu attribut 
MTHSIG10	getstringvalu annotationattributevalu annot attribut attributevalu attribut 
VARIABLES	generictyp type governortyp governor type toplevelpackag top level mirrortyp mirror type governortyp governor type type toplevelpackag top level proxytyp proxi type requesttyp request type annotatedtyp annot type classbasedannotationtyp base annot type stringbasedannotationtyp base annot type target annotationtyp annot type attributenam attribut target annotationtyp annot type attributenam attribut valueifnul proxi cid annotationtyp annot type annotationtyp annot type attributevalu attribut type convertvoid convert proxi request warn proxi annot request annot roo proxi request annot mirrortypemap mirror type map destinationpackag destin typenam type simpl stringbasedannot base annot targettypeattributevalu target type attribut classbasedannot base annot targettypeattributevalu target type attribut valu annot attributevalu attribut arrayattributevalu arrai attribut stringattributeval attribut vale annot attributevalu attribut booleanattributevalu attribut annotationmetadata annot metadata 
