VARSIG6	javatyp type annotationtyp annot type 
VARSIG3	collect annotationmetadata annot metadata annot 
VARSIG2	modifi 
VARSIG5	annotationmetadata annot metadata 
VARSIG4	javatyp type type 
COMMENTS	link identifiableannotatedjavastructur identifi annot structur subclass field constructor customdata custom data declaredbymetadataid declar metadata modifi annot 
CLASSES	abstractidentifiableannotatedjavastructureprovid identifi annot structur provid 
VARSIG1	declaredbymetadataid declar metadata 
VARSIG0	customdata custom data customdata custom data 
METHODS	abstractidentifiableannotatedjavastructureprovid identifi annot structur provid getannot annot getannot annot gettypeannot type annot 
MTHSIG0	abstractidentifiableannotatedjavastructureprovid identifi annot structur provid customdata custom data customdata custom data declaredbymetadataid declar metadata modifi collect annotationmetadata annot metadata annot 
MTHSIG1	getannot annot 
PACKAGE	springframework roo classpath detail 
MTHSIG2	getannot annot javatyp type type 
MTHSIG3	gettypeannot type annot javatyp type annotationtyp annot type 
VARIABLES	customdata custom data declaredbymetadataid declar metadata modifi annot type annotationtyp annot type annot current result 
