VARSIG7	list methodmetadata metadata proxymethod proxi method 
VARSIG6	destfil dest file 
VARSIG3	gwttype gwt type type 
VARSIG2	modulenam modul 
VARSIG5	templatecont templat content 
VARSIG4	modulenam modul 
COMMENTS	link gwttemplateserviceimpl gwt templat servic impl 
CLASSES	gwttemplateservic gwt templat servic 
VARSIG1	map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map 
VARSIG0	classorinterfacetypedetail type detail governortypedetail governor type detail 
METHODS	getmirrortemplatetypedetail mirror templat type detail getstatictemplatetypedetail templat type detail builduixml build xml 
MTHSIG0	getmirrortemplatetypedetail mirror templat type detail classorinterfacetypedetail type detail governortypedetail governor type detail map javasymbolnam symbol gwtproxyproperti gwt proxi properti clientsidetypemap client side type map modulenam modul 
MTHSIG1	getstatictemplatetypedetail templat type detail gwttype gwt type type modulenam modul 
PACKAGE	springframework roo addon gwt 
MTHSIG2	builduixml build xml templatecont templat content destfil dest file list methodmetadata metadata proxymethod proxi method 
VARIABLES	governortypedetail governor type detail clientsidetypemap client side type map modulenam modul type modulenam modul templatecont templat content destfil dest file proxymethod proxi method 
