VARSIG7	clioption cli option kei optioncontext option context updat project mandatori creat javatyp type 
VARSIG6	clioption cli option kei permitreservedword permit reserv mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu reserv roo permitreservedword permit reserv 
VARSIG9	clioption cli option kei permitreservedword permit reserv mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu reserv roo permitreservedword permit reserv 
VARSIG8	clioption cli option kei path mandatori unspecifieddefaultvalu unspecifi focus src specifieddefaultvalu focus src sourc directori creat logicalpath logic path path 
VARSIG3	clioption cli option kei path mandatori unspecifieddefaultvalu unspecifi focus src specifieddefaultvalu focus src sourc directori creat logicalpath logic path path 
VARSIG2	clioption cli option kei rooannot roo annot mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu gener common roo annot rooannot roo annot 
VARSIG5	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu gener mark createabstract creat 
VARSIG4	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi lang object superclass default lang object javatyp type superclass 
COMMENTS	shell command creat class interfac enum field 
VARSIG1	clioption cli option kei optioncontext option context updat project mandatori creat javatyp type 
VARSIG0	clioption cli option kei mandatori optioncontext option context updat project type focu javatyp type type 
MTHSIG4	createenum creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG12	clioption cli option kei permitreservedword permit reserv mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu reserv roo permitreservedword permit reserv 
MTHSIG5	enumconst constant javatyp type javasymbolnam symbol fieldnam field permitreservedword permit reserv 
VARSIG11	clioption cli option kei path mandatori unspecifieddefaultvalu unspecifi focus src specifieddefaultvalu focus src sourc directori creat logicalpath logic path path 
VARSIG10	clioption cli option kei optioncontext option context updat project mandatori creat javatyp type 
MTHSIG0	isprojectavail project 
MTHSIG1	focu javatyp type type 
VARSIG15	clioption cli option kei permitreservedword permit reserv mandatori unspecifieddefaultvalu unspecifi specifieddefaultvalu reserv roo permitreservedword permit reserv 
PACKAGE	springframework roo classpath oper 
MTHSIG2	createclass creat javatyp type rooannot roo annot logicalpath logic path path javatyp type superclass createabstract creat permitreservedword permit reserv 
VARSIG14	clioption cli option kei mandatori constant javasymbolnam symbol fieldnam field 
MTHSIG3	createinterfac creat javatyp type logicalpath logic path path permitreservedword permit reserv 
VARSIG13	clioption cli option kei mandatori unspecifieddefaultvalu unspecifi optioncontext option context updat project receiv field javatyp type 
CLASSES	classpathcommand classpath command 
METHODS	isprojectavail project focu createclass creat createinterfac creat createenum creat enumconst constant 
VARIABLES	type rooannot roo annot path superclass createabstract creat permitreservedword permit reserv path permitreservedword permit reserv path permitreservedword permit reserv fieldnam field permitreservedword permit reserv classpathoper classpath oper 
