VARSIG3	fieldmetadata field metadata field 
VARSIG2	javasymbolnam symbol constantnam constant 
VARSIG4	classorinterfacetypedetail type detail cid 
COMMENTS	creat maintain type creat locat detail except thrown exist cid link classorinterfacetypedetail type detail creat requir add constant exist physicaltypeidentifi physic type identifi add requir constantnam constant constant requir add field exist except thrown exist modifi field request declar field field add requir creat physic type content base link classorinterfacetypedetail type detail pass locat denot pass path expect pass file locat correct cid link classorinterfacetypedetail type detail base file content requir 
CLASSES	typemanagementservic type manag servic 
VARSIG1	physicaltypeidentifi physic type identifi 
VARSIG0	classorinterfacetypedetail type detail cid 
METHODS	generateclassfil gener file addenumconst add constant addfield add field createorupdatetypeondisk creat updat type disk 
MTHSIG0	generateclassfil gener file classorinterfacetypedetail type detail cid 
MTHSIG1	addenumconst add constant physicaltypeidentifi physic type identifi javasymbolnam symbol constantnam constant 
PACKAGE	springframework roo classpath 
MTHSIG2	addfield add field fieldmetadata field metadata field 
MTHSIG3	createorupdatetypeondisk creat updat type disk classorinterfacetypedetail type detail cid 
VARIABLES	cid physicaltypeidentifi physic type identifi constantnam constant field cid 
