VARSIG2	javapackag javapackag 
COMMENTS	oper web mvc json function 
CLASSES	webjsonoper web json oper 
VARSIG1	javatyp type jsontyp json type 
VARSIG0	javatyp type type 
METHODS	iswebjsoninstallationposs web json instal iswebjsoncommandavail web json command setup annotatetyp annot type annotateal annot 
MTHSIG4	annotateal annot javapackag javapackag 
MTHSIG0	iswebjsoninstallationposs web json instal 
MTHSIG1	iswebjsoncommandavail web json command 
PACKAGE	springframework roo addon web mvc control json 
MTHSIG2	setup 
MTHSIG3	annotatetyp annot type javatyp type type javatyp type jsontyp json type 
VARIABLES	type jsontyp json type javapackag 
