VARSIG7	javasymbolnam symbol findernam finder 
VARSIG6	javatyp type typenam type 
VARSIG8	object 
VARSIG3	javasymbolnam symbol finder 
VARSIG2	fieldmetadata field metadata idfield field 
VARSIG5	runtimeexcept runtim except 
VARSIG4	javatyp type 
COMMENTS	implement link finderoper finder oper constant field entiti metadata type finder entiti entiti metadata member detail comput finder exclud version field avoid displai problemat finder queri queri entiti metadata type finder entiti entiti metadata file exist there entiti metadata exist rooentiti roo entiti annot confirm type valid finder destin list store attribut copi exist attribut exclud finder attribut ensur arrai string add desir finder let add finder attribut 
CLASSES	finderoperationsimpl finder oper impl 
VARSIG1	integ depth 
VARSIG0	javatyp type typenam type 
METHODS	isfinderinstallationposs finder instal listfindersfor list finder installfind instal finder geterrormsg error msg 
MTHSIG0	isfinderinstallationposs finder instal 
MTHSIG1	listfindersfor list finder javatyp type typenam type integ depth 
PACKAGE	springframework roo addon finder 
MTHSIG2	installfind instal finder javatyp type typenam type javasymbolnam symbol findernam finder 
MTHSIG3	geterrormsg error msg 
VARIABLES	typenam type depth idfield field finder typenam type findernam finder logger dynamicfinderservic dynam finder servic memberdetailsscann member detail scanner metadataservic metadata servic persistencememberloc persist member locat projectoper project oper typemanagementservic type manag servic typelocationservic type locat servic javatyp type path entitymid entiti mid jpaactiverecordmetadata jpa activ record metadata physicaltypemetadata physic type metadata cid memberdetail member detail idfield field versionfield version field exclus result finder queryhold queri holder parameternam paramet name parametertyp paramet type signatur javatyp type path entitymid entiti mid jpaactiverecordmetadata jpa activ record metadata cid annot jpaactiverecordannot jpa activ record annot memberdetail member detail attribut desiredfind desir finder alreadyad val arrayv arrai val cidbuild cid builder annot 
