MTHSIG24	iscont content 
MTHSIG22	appendtermin append termin 
MTHSIG23	getoutput output 
MTHSIG4	appendtypeannot append type annot 
MTHSIG5	appendfieldannot append field annot 
MTHSIG6	appendmethodannot append annot 
MTHSIG7	appendextendstyp append type 
MTHSIG0	itdsourcefilecompos sourc file compos itdtypedetail type detail itdtypedetail type detail 
MTHSIG1	prependcompilationunitdetail prepend compil unit detail 
PACKAGE	springframework roo classpath 
MTHSIG2	appendtypedeclar append type declar 
MTHSIG3	outputannot output annot annotationmetadata annot metadata annot 
MTHSIG20	appendformallin append formal messag 
MTHSIG21	appendind append indent 
MTHSIG8	appendimplementstyp append type 
MTHSIG9	appendconstructor append constructor 
CLASSES	itdsourcefilecompos sourc file compos 
METHODS	itdsourcefilecompos sourc file compos prependcompilationunitdetail prepend compil unit detail appendtypedeclar append type declar outputannot output annot appendtypeannot append type annot appendfieldannot append field annot appendmethodannot append annot appendextendstyp append type appendimplementstyp append type appendconstructor append constructor appendmethod append method appendfield append field appendinnertyp append type writemethod write method indent indentremov indent remov newlin newlin getnewlin append appendformallin append formal appendind append indent appendtermin append termin getoutput output iscont content 
VARSIG23	annotationmetadata annot metadata methodparameterannot paramet annot 
VARSIG22	annotationmetadata annot metadata annot 
VARSIG21	methodmetadata metadata 
VARSIG20	isinterfacemethod 
VARSIG26	messag 
VARSIG25	messag 
VARSIG24	indent 
VARSIG7	javatyp type extendstyp type 
VARSIG6	declaredmethodannotationdetail declar annot detail methoddetail detail 
VARSIG9	constructormetadata constructor metadata constructor 
VARSIG8	javatyp type extendstyp type 
VARSIG3	annotationmetadata annot metadata annot 
VARSIG2	javatyp type importtyp type 
VARSIG5	declaredfieldannotationdetail declar field annot detail fielddetail field detail 
VARSIG4	annotationmetadata annot metadata typeannot type annot 
COMMENTS	simpl produc inter type declar sourc file field construct link itdsourcefilecompos sourc file compos member request pass object itdtypedetail type detail construct requir creat resolv add item process roo saniti check user misus prepend declar import ensur compil unit import correct thei built travers member note interact top file builder order ensur consist output don type defin governor scope ajdt warn roo append normal file bottom replac writer writer set set oper append annot append modifi targetofintroduct target introduct portion append paramet type name add bodi append annot append modifi fieldtyp field type fieldnam field portion append initi complet field declar support type field definit point type class write field append annot append initi complet field declar write method append annot append modifi returntyp type methodnam portion type append paramet type name add except thrown add bodi increas indent level decreas indent level print blank ensur indent includ print blank ensur indent includ consist javapars javapars dumpvisitor dump visitor append stringutil util separ consist javapars javapars dumpvisitor dump visitor print messag indent print messag ad indent return commonli print relev number indent ensur content flag set formal append content formal declar actual content 
VARSIG19	definetarget defin target 
VARSIG1	javatyp type registeredimport regist 
VARSIG18	list methodmetadata metadata method 
VARSIG0	itdtypedetail type detail itdtypedetail type detail 
VARSIG17	annotationmetadata annot metadata annot 
VARSIG12	interfacemethod 
VARSIG11	annotationmetadata annot metadata methodparameterannot paramet annot 
VARSIG10	annotationmetadata annot metadata annot 
VARSIG16	fieldmetadata field metadata field 
VARSIG15	classorinterfacetypedetail type detail innertyp type 
VARSIG14	annotationmetadata annot metadata annot 
VARSIG13	fieldmetadata field metadata field 
MTHSIG17	newlin indent 
MTHSIG18	getnewlin 
MTHSIG15	indentremov indent remov 
MTHSIG16	newlin 
MTHSIG13	writemethod write method list methodmetadata metadata method definetarget defin target isinterfacemethod 
MTHSIG14	indent 
MTHSIG11	appendfield append field 
MTHSIG12	appendinnertyp append type 
MTHSIG19	append messag 
MTHSIG10	appendmethod append method interfacemethod 
VARIABLES	itdtypedetail type detail registeredimport regist importtyp type annot typeannot type annot fielddetail field detail methoddetail detail extendstyp type extendstyp type constructor annot methodparameterannot paramet annot interfacemethod field annot innertyp type field annot method definetarget defin target isinterfacemethod annot methodparameterannot paramet annot indent messag messag indentlevel indent level introductionto introduct content itdtypedetail type detail resolv aspect topoffil top file type typeannot type annot fieldannot field annot methodannot annot extendstyp type implementstyp type constructor parametertyp paramet type parameternam paramet name paramtyp type paramnam method field innertyp type extendstyp type implementstyp type implementstyp type staticmethod parametertyp paramet type parameternam paramet name paramtyp type paramnam throwstyp type contentbefor content 
