VARSIG7	pom pom 
VARSIG6	logicalpath logic path 
VARSIG3	modul 
VARSIG2	modulepluspath modul path 
VARSIG5	object obj 
VARSIG4	path path 
COMMENTS	link path context specif project modul physic locat file system pass instanc link pathresolv path resolv charact appear modul path textual represent link logicalpath logic path charact feasibl occur modul link path creat instanc path modul path path set requir modul blank instanc creat link logicalpath logic path pars concaten option modul mandatori path modulepluspath modul path consist option modul link modul path separ path precis modul modul path separ path field constructor modul modul path blank path path modul requir return displai link logicalpath logic path blank return path compon link logicalpath logic path path return modul path empti root own modul root entir user project return physic path logic path rel pom pom path 
VARSIG1	modul 
VARSIG0	path path 
MTHSIG4	getpath path 
MTHSIG5	getmodul modul 
MTHSIG6	hashcod hash code 
MTHSIG7	equal object obj 
MTHSIG0	getinst instanc path path modul 
MTHSIG1	getinst instanc modulepluspath modul path 
PACKAGE	springframework roo project 
MTHSIG2	logicalpath logic path modul path path 
MTHSIG3	getnam 
MTHSIG8	compareto compar logicalpath logic path 
MTHSIG9	tostr 
MTHSIG11	isprojectroot project root 
MTHSIG12	getpathrelativetopom path rel pom pom pom 
CLASSES	logicalpath logic path 
METHODS	getinst instanc getinst instanc logicalpath logic path getnam getpath path getmodul modul hashcod hash code equal compareto compar tostr ismoduleroot modul root isprojectroot project root getpathrelativetopom path rel pom 
MTHSIG10	ismoduleroot modul root 
VARIABLES	path modul modulepluspath modul path modul path obj pom modul path separ separatorindex separ path modul path modul 
