VARSIG7	includeonmenu includ menu 
VARSIG6	beannam bean 
VARSIG9	mediaplay media player mediaplay media player 
VARSIG8	url 
VARSIG3	javapackag destinationpackag destin 
VARSIG2	theme theme 
VARSIG5	javatyp type entiti 
VARSIG4	javatyp type managedbean manag bean 
COMMENTS	jsf manag bean oper 
CLASSES	jsfoper jsf oper 
VARSIG1	jsflibrari jsf librari jsflibrari jsf librari 
VARSIG0	jsfimplement jsf implement jsfimplement jsf implement 
METHODS	isjsfinstallationposs jsf instal isscaffoldormediaadditionavail scaffold media addit setup generateal gener createmanagedbean creat manag bean addmediasuurc add media suurc 
MTHSIG4	createmanagedbean creat manag bean javatyp type managedbean manag bean javatyp type entiti beannam bean includeonmenu includ menu 
MTHSIG5	addmediasuurc add media suurc url mediaplay media player mediaplay media player 
MTHSIG0	isjsfinstallationposs jsf instal 
MTHSIG1	isscaffoldormediaadditionavail scaffold media addit 
PACKAGE	springframework roo addon jsf 
MTHSIG2	setup jsfimplement jsf implement jsfimplement jsf implement jsflibrari jsf librari jsflibrari jsf librari theme theme 
MTHSIG3	generateal gener javapackag destinationpackag destin 
VARIABLES	jsfimplement jsf implement jsflibrari jsf librari theme destinationpackag destin managedbean manag bean entiti beannam bean includeonmenu includ menu url mediaplay media player 
